WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Tarnished Mettle,29,Arc,Lightweight,Xur,,49,Yes,Fluted Barrel,Alloy Magazine,"Demolitionist
Shoot to Loot","Voltshot
Explosive Payload",Right Hook,"mediocre frame, bad origin, has StL + EP option but other perks are underwhelming",23,B
,Nameless Midnight,29,Kinetic,Precision,Fireteam Ops,,46,Yes,Fluted Barrel,Alloy Magazine,"Rapid Hit
Shoot to Loot","Kinetic Tremors
Explosive Payload",Accelerated Assault,basically Randy's but worse with a StL + EP option,24,B
,Admetus-D,29,Solar,High-Impact,Banshee,,50,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Heal Clip,Incandescent,Häkke Breach Armaments,"probably worst Heal Clip + Incand option, not much going on besides double stagger",25,B
,Transfiguration,29,Kinetic,High-Impact,Last Wish,,55,Yes,Fluted Barrel,Alloy Magazine,"Rampage
Demolitionist
Rewind Rounds",Kinetic Tremors,Explosive Pact,"kinetic damage + splash, bad origin and mediocre frame",26,B
,The Guiding Sight,24,Strand,High-Impact,Iron Banner,,40,Yes,Fluted Barrel,Alloy Magazine,Slice,Hatchling,Skulking Wolf,"very limited perk pool but decent highlights, mediocre frame but good origin",27,B
,Imperative,29,Kinetic,High-Impact,Starcrossed,,53,Yes,Fluted Barrel,Alloy Magazine,"Demolitionist
Rapid Hit",Kinetic Tremors,Nano-Munitions,"similar to Transfiguration, just no 1st column damage and much better origin",28,B
,Last Rite,29,Kinetic,Aggressive,Solo Ops,,54,Yes,Fluted Barrel,Alloy Magazine,"Bewildering Burst
Stopping Power
Shoot to Loot","Firefly
Explosive Payload",Vanguard Determination,technically double splash and stagger but no very potent splash perks and bad frame,29,B
,Red Tape,29,Stasis,Lightweight,"World, Banshee",,53,Yes,Fluted Barrel,Alloy Magazine,"Rimestealer
Attrition Orbs","Headstone
Explosive Payload",Dark Ether Reaper,"technically has AO + EP access, otherwise just an okay stasis combo scout with a good origin",30,C
,Jurisprudent,27,Stasis,High-Impact,"Tenet of Bravery, Banshee",,55,Yes,Fluted Barrel,Alloy Magazine,Rimestealer,Headstone,Bray Legacy,slightly better than Live Fire,31,C
,Live Fire,29,Stasis,Precision,Banshee,,49,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Rimestealer,Headstone,Field-Tested,"bad frame but typical stasis combo, okay frame",32,C
,Staccato-46,17,Solar,Precision,Banshee,,54,No,Fluted Barrel,Alloy Magazine,"Outlaw
Shoot to Loot","Incandescent
Explosive Payload",Suros Synergy,"bad frame but reload + Incand and StL + EP available, bad origin though",33,C
,Perses-D,16,Stasis,High-Impact,Banshee,,45,No,Fluted Barrel,Alloy Magazine,"Rapid Hit
Shoot to Loot","Headstone
Explosive Payload",Häkke Breach Armaments,"very similar to Staccato, more awkward frame for StL, and arguably worse splash perk",34,C
,Jararaca-3sr,19,Stasis,Rapid,Banshee,,49,No,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Rapid Hit,Headstone,Veist Stinger,"good frame, bad 1st column, okay origin",35,C
,Taraxippos,29,Strand,Lightweight,Tenet of Bravery,,51,Yes,Fluted Barrel,Alloy Magazine,Enlightened Action,"Tear
Hatchling
Explosive Payload",Classy Contender,"splash perks not bad, otherwise very mediocre all around",36,C
,The Prophet,23,Stasis,Aggressive,Trials,,60,Yes,Fluted Barrel,Alloy Magazine,"Demolitionist
Enlightened Action",Headstone,Tex Balanced Stock,"worse frame than Jararaca, similar otherwise",37,C
,Glissando-47,29,Strand,Precision,Banshee,,50,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Reconstruction,Hatchling,Suros Synergy,"mediocre frame, no good 1st column perks, bad origin, only really has Hatchling",38,C
,"Long Arm
RotN version",26,Arc,Aggressive,Rite of the Nine,,54,Yes,Fluted Barrel,Alloy Magazine,Rapid Hit,"Explosive Payload
Dragonfly",Gravity Well,"basically just a Gravity Well vacuum, awful otherwise",39,D
,Night Watch,29,Kinetic,Lightweight,Gambit,,49,Yes,Fluted Barrel,Alloy Magazine,Rapid Hit,Explosive Payload,Gun and Run,"classic dated reload + EP combo, mediocre frame and origin",40,D
,Tears of Contrition,29,Kinetic,Precision,Presage,,53,Yes,Fluted Barrel,Alloy Magazine,"Compulsive Reloader
Auto-Loading Holster",Explosive Payload,Extrovert,"awful origin trait for a scout, otherwise pretty mediocre",41,D
,Talons of the Eagle,4,Kinetic,High-Impact,Iron Banner,,59,No,Fluted Barrel,Alloy Magazine,Outlaw,Explosive Payload,None,EP only thing going for this,42,D
,Servant Leader,15,Kinetic,Rapid,Gambit,,50,No,Fluted Barrel,Alloy Magazine,"Rapid Hit
Shoot to Loot",Rampage,Field-Tested,"no EP but decent frame, StL access, post-buff Rampage, and solid origin",43,D
,Contingency Plan,15,Arc,Rapid,"Xur, Dares",,50,No,Fluted Barrel,Alloy Magazine,Outlaw,Kill Clip,None,"no StL or EP access, good frame but extremely dated perks",44,E
,Royal Chase,12,Void,Precision,"Xur, Dares",,48,No,Fluted Barrel,Alloy Magazine,Field Prep,Dragonfly,None,"bad frame, only Dragonfly, no origin, has FP for ammo gen",45,E
,Eternal Blazon,13,Arc,Lightweight,Zavala,,46,No,Candle PS,"High-Caliber Rounds
Alloy Magazine",Rapid Hit,Kill Clip,None,"mediocre frame, reload + single target damage",46,E
,Adverse Possession IX,24,Arc,Precision,Bans,,51,Yes,Fluted Barrel,Alloy Magazine,"Eddy Current
Compulsive Reloader
Overflow","Frenzy
Wellspring",Suros Synergy,"terrible second column, bad frame, bad origin",47,E
,Pleiades Corrector,14,Solar,Lightweight,Xur,,53,No,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Field Prep,Multikill Clip,None,worst 2nd column I've ever seen on a scout,48,E
