WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Seventh Seraph Carbine,29,Kinetic,Precision,Cosmodrome,,51,Yes,"Fluted Barrel
Arrowhead Brake",Seraph Rounds,"Attrition Orbs
Stopping Power","Kinetic Tremors
Ancillary Ordinance",Eyes Up,"Seraph Rounds access, solid kinetic combos, decent origin, alright frame",18,A
,Chrysura Melo,29,Arc,Support,Shattered Throne,,48,Yes,Full Bore,Accurized Rounds,"Physic
Jolting Feedback","Voltshot
Attrition Orbs",Ignoble Deeds,"only legendary access to Amplified without subclass, also has double splash on decent frame",19,A
,The Summoner,29,Solar,Adaptive,Trials,,51,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Heal Clip,"Incandescent
Burning Ambition",Wild Card,lacks double splash but otherwise excellent all around for a solar auto,20,A
,Everburning Glitz,27,Kinetic,Rapid,Trials,,54,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Bewildering Burst","Kinetic Tremors
Ancillary Ordinance",Fleet Footed,"decent orb generator, solid archetype, but definitely a downgrade from Scathelocke",21,A
,Origin Story,29,Kinetic,Precision,Zavala,,47,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Attrition Orbs,Kinetic Tremors,Vanguard Determination,"classic AO + KT combo, decent archetype, alright origin",22,B
,Tigerspite,29,Kinetic,Precision,Dreaming City,,49,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Bewildering Burst
Stopping Power
Shoot to Loot",Kinetic Tremors,Advanced Reflexes,"similar to Chroma Rush with barrier access archetype, similar origin, High-Cal access",23,B
,Chroma Rush,29,Kinetic,Rapid,"World, Banshee",,54,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Bewildering Burst
Stopping Power","Kinetic Tremors
Ancillary Ordinance",Splicer Surge,"decent archetype, mediocre origin, no Attrition Orbs, lacking some things",24,B
,Zealous Ideal,28,Solar,Balanced,Equilibrium,,58,Yes,Fluted Barrel,Enhanced Heatsink,"Heal Clip
Attrition Orbs","Incandescent
Burning Ambition",Imperial Allegiance,"lacks double splash, archetype is okay, origin trait isn't that great",25,B
,Ros Arago IV,23,Void,Adaptive,Banshee,,54,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Repulsor Brace,"Onslaught
Attrition Orbs
Golden Tricorn",Wild Card,"would be pretty good with Destabilizing access, good frame, great origin",26,B
,Adamantite,29,Strand,Support,Pit of Heresy,,54,Yes,Full Bore,Accurized Rounds,"Reciprocity
Redirection","Hatchling
Tear",Heretical Behavior,"Physic is sadly useless, completely overshadowed by DECATUR",27,B
,The Forward Path,29,Strand,Adaptive,Iron Banner,,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Slice,"Tear
Hatchling",Skulking Wolf,"decent strand auto, best archetype, good origin, decent strand perks",28,B
,Lethal Abundance,29,Strand,High-Impact,Iron Banner,,51,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Tear
Slice","Hatchling
Desperate Measures
One for All",Skulking Wolf,bad frame + good 1st column + okay 2nd column,29,B
,Rufus's Fury,29,Strand,Rapid,Root of Nightmares,,60,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Slice,"Chaos Reshaped
Hatchling",Harmonic Resonance,"good single target-focused auto, otherwise not very good",30,B
,Auric Disabler,27,Strand,Precision,Trials,,50,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Hatchling
Slice","Tear
Desperate Measures
Onslaught",Omolon Fluid Dynamics,splash + damage option but relatively weak vs. B tier options,31,B
,Intercalary,27,Stasis,Adaptive,Desert Perpetual,,57,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Headstone,"Desperate Measures
Rimestealer
One for All",Frame of Reference,"best archetype, High-Cal access, splash + single target",32,C
,Trendsetter,29,Arc,Adaptive,"World, Banshee",,60,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Supercharged Magazine
Light Touch","Jolting Feedback
Rolling Storm
Gear Shift","Nail, Meet Hammer","best archetype but very mediocre 1st column, arc splash is underwhelming, niche origin",33,C
,Come to Pass,29,Arc,High-Impact,Throne World,,54,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Supercharged Magazine
Shoot to Loot",Jolting Feedback,Psychohack,"great origin and archetype, no double stagger combo and mediocre 1st column",34,C
,"Prosecutor
RotN version",26,Arc,Precision,Rite of the Nine,,60,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Dragonfly",Voltshot,Gravity Well,"mediocre double splash, okay archetype, Gravity Well access",35,C
,Shadow Price,29,Arc,Precision,Zavala,,48,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Attrition Orbs,Voltshot,Vanguard Determination,"AO + Voltshot, alright origin, okay frame",36,C
,Sorrow's Verse,29,Arc,Adaptive,Crucible Ops,,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Recycled Energy
Rewind Rounds",Voltshot,Accelerated Assault,"best frame, no double splash, good origin",37,C
,Veiled Threat,29,Stasis,Rapid,Encore,,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Shoot to Loot","Headstone
Desperate Measures",Radiolaria Transposer,Attrition + Headstone + great origin + frame but sadly stasis,38,C
,Giver's Blessing,27,Kinetic,Rapid,Kepler,,57,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Rewind Rounds
Shoot to Loot
Impromptu Ammunition",Kinetic Tremors,Exhaustive Research,"very disappointing first column, decent archetype, origin trait usually not great",39,C
,Prosecutor,29,Arc,Precision,Prophecy,,60,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Dragonfly
Enlightened Action","Voltshot
Gear Shift",Crossing Over,"mediocre double splash, okay archetype, no Gravity Well",40,C
,Ahab Char,27,Solar,Rapid,"Tenet of Bravery, Banshee",,52,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Heal Clip,Burning Ambition,Bray Legacy,"solid overall package, just missing solid splash perk in 2nd column",41,C
,Arc Logic,29,Arc,Adaptive,Moon,,49,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Rolling Storm
Supercharged Magazine","Jolting Feedback
Gear Shift",Loss,"disappointing 1st column, decent 2nd column, bad origin, good archetype",42,C
,Breakneck,29,Kinetic,Precision,Gambit,,45,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Enlightened Action
Shoot to Loot",Kinetic Tremors,Gun and Run,"decent archetype but nothing good to pair with KT, origin not very good either",43,C
,Braytech Werewolf,25,Kinetic,Precision,Festival of the Lost,,55,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Rewind Rounds
Pugilist",Kinetic Tremors,Search Party,basically Breakneck but worse,44,C
,Fair Judgment,29,Stasis,Precision,Solo Ops,,51,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Rimestealer
Deconstruct",Headstone,Vanguard Determination,"mediocre Headstone auto, nothing special about frame or origin",45,D
,Steelfeather Repeater,29,Kinetic,Rapid,"World, Banshee",,53,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Bewildering Burst,Ancillary Ordinance,Cast No Shadows,"awful perks outside of kinetic combo, origin not great on weapon type",46,D
,Old Sterling,21,Strand,Adaptive,Banshee,,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Rewind Rounds,Hatchling,Field-Tested,"best frame, terrible 1st column, decent origin",47,D
,Herod-C,29,Stasis,High-Impact,Gambit,,51,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Shoot to Loot
Stats for All",Headstone,Häkke Breach Armaments,"has stagger combo access, unremarkable stasis auto, good frame",48,D
,False Promises,26,Stasis,High-Impact,Xur,,54,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Enlightened Action,Headstone,Paracausal Fluid,"has High-Cal + high-impact stagger combo, otherwise very mediocre",49,D
,Duty Bound,28,Kinetic,Adaptive,"Tenet of Bravery, Zavala",,58,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Bewildering Burst
Stopping Power","Rampage
Onslaught",Accelerated Assault,"no KT or Ancillary, no AO access, good archetype and origin but really lacking in perks",50,D
,Dark Decider,20,Arc,Rapid,Iron Banner,,54,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Auto-Loading Holster
Subsistence",Voltshot,Skulking Wolf,"awful 1st column, okay frame, good origin, pretty bad overall",51,D
,Coronach-22,20,Solar,Adaptive,Banshee,,51,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Feeding Frenzy,Incandescent,Suros Synergy,Incandescent is the only redeeming quality,52,D
,Horror Story,29,Stasis,Precision,Tenet of Bravery,,47,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Demolitionist
Enlightened Action",Headstone,Nadir Focus,"decent archetype, bad 1st column, bad origin",53,D
,Krait,16,Stasis,Rapid,Banshee,,45,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Stats for All,Headstone,Veist Stinger,"terrible 1st column, okay frame and origin, nothing special",54,D
,Perpetualis,29,Strand,Adaptive,NODE.OVRD.AVALON,,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Envious Assassin,Hatchling,Noble Deeds,"terrible 1st column, mediocre splash, middling origin, good frame",55,D
,Ammit AR2,29,Solar,Precision,Banshee,,48,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Ambitious Assassin
Stats for All","Incandescent
One for All",Omolon Fluid Dynamics,worst Incandescent auto,56,D
,Sweet Sorrow,29,Arc,Rapid,Vox Obscura,,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Stats for All,One for All,Land Tank,"no splash whatsoever, great origin and decent archetype but everything else is terrible",57,E
,The Last Breath,15,Kinetic,Adaptive,Prophecy,,52,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Demolitionist,"Frenzy
One for All",None,"extremely outdated perk pool, good frame but not even close to redeemable",58,E
,Lodbrok-C,19,Kinetic,High-Impact,Banshee,,46,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Demolitionist,"Kill Clip
Adrenaline Junkie",Häkke Breach Armaments,"completely outdated, technically has double stagger combo though",59,E
,Firefright,29,Kinetic,Precision,Presage,,54,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Threat Detector,Surrounded,Extrovert,garbage all around except origin trait,60,E
,The Number,14,Arc,Precision,Xur,,60,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Field Prep,One for All,None,Field Prep technically gives ammo gen but besides that completely irredeemable,61,E
