Pantheon 2.0,,,,
,Name,Ren,P2,Notes
,New Pacific Epitaph,C,B,Redirection buff
,No Hesitation,med,high,underrated utility in low power content
,Sunshot,high,med,exotic heavies much more common for contest-type content
,Leviathan's Breath,high,med,consistent heavies in this category are overshadowed by others
,The Queenbreaker,N/A,high,better consistent heavy than Whisper
,Unloved,N/A,low,replaced Warden's Law as BiS kinetic LP HC
,Praedyth's Revenge,N/A,med,replaced The Supremacy as BiS kinetic damage sniper
,Hezen Vengeance,low,high,rockets > HGLs for burst
,VS Chill Inhibitor,high,med,HGL nerf
,Tinasha's Mastery,high,med,not absolutely essential compared to other high-tier legendaries
,Word of Crota,med,med,replaced Heliocentric post-Destabilizing buffs
,Storm's Keep,A,S,significantly better than expected pre-release
,,,,
Episode: Heresy,,,,
,Name,S25,S26,Notes
NEW ADDITIONS / REPRISES,Keen Thistle,N/A,A,low utility but decent perks and best Envious sniper
,The Inquisitor,F,D,"great damage perks in 2nd column, nerfed 1st column"
,Warlord's Spear,N/A,A,"good splash potential in 2nd column, okay 1st column"
,Lotus-Eater,N/A,S,"similar perk combo to Aberrant, worse origin trait"
,Cynosure,N/A,S,good archetype + Envious Arsenal + Elemental Honing
,Backfang,N/A,A,decent mix of perks and decent archetype
,Boondoggle Mk. 55,N/A,E,"clearly meant for PvE, best PvE perks are extremely dated"
,Joxer's Longsword,N/A,S,Gridskipper but heavy burst frame and worse origin trait
,Hollow Words,N/A,E,"awful perks overall, mediocre frame"
,Abyssal Edge,N/A,A,generally worse than Summum Bonum
,Cold Denial,N/A,F,high-impact with awful and outdated PvE perks
,Eyes Unveiled,N/A,C,generally unremarkable besides being first Discord heavy
,Whispering Slab,N/A,E,no modern 2nd column perks
,Found Verdict,D,B,Trench Barrel + Discord + new origin trait
,Qua Furor V,N/A,B,solid archetype and origin trait ruined by mediocre perks
,Watchful Eye,N/A,S,good archetype + decent origin trait + first Jolting Feedback LMG
,Cruoris FR4,N/A,B,"has some usable damage options, but perk combos aren't great"
,False Promises,N/A,C,basically Herod-C v2 with enhanceable perks but no Häkke
,Temptation's Hook,F,F,didn't fix low impact
,Resounding,N/A,C,only add clear perks on a mediocre archetype
,Afterlight,N/A,A,first adequately-equipped Discord fusion
,Hezen Vengeance,B,S,best DPS rocket in the game
,Refusal of the Call,N/A,A,"first Discord glaive, passable otherwise"
,The Palindrome,N/A,C,underwhelming perks given current HC competition
,Adamantite,N/A,A,"lack of Restoration, interesting combatant damage reduction"
,Division,N/A,A,"basically Anonymous Autumn v2 but better archetype, worse origin"
,Redrix's Estoc,N/A,C,almost identical to most recent Stay Frosty version
,Anamnesis,N/A,A,"BiS Void bow, options for splash and utility"
,Exalted Truth,N/A,A,classic Void 3.0 combo + bad origin + decent archetype
,Peacebond,N/A,B,similar viability to nearby Kinetic Tremors/Hatchling options
,Vision of Confluence,N/A,A,lower utility but higher lethality than neighboring Hung Jury
,Corrective Measure,S,S,"still top-tier, but more unique perk combinations"
,Admetus-D,N/A,C,no splash perk even if utility is alright
,Psychopomp,N/A,S,"first area denial with overflow potential, Envious for damage as well"
,Fatebringer,N/A,A,almost identical to Midnight Coup now
,Praedyth's Revenge,B,S,FTTC + BnS not much more to say really
,Mirror Imago,N/A,E,Hatchling SMG without anything else particularly noteworthy
,On the Prowl,N/A,B,"lack of invisibility control is not ideal, but good crowd control"
,Storm's Keep,N/A,A,potentially very nice addition to fireteam damage scenarios
,Ionic Sentry,N/A,B,more refreshable and better CC version of Hellion/Bleak Watcher
ADJUSTMENTS,Choir of One,low,high,Destabilizing Rounds buff + extremely versatile
,Aberrant Action,high,med,energy rocket sidearm not as needed in endgame content
,Veleda-F,med,low,perk-based weaken not that important
,Critical Anomaly,med,low,hitscan Overload stun not relevant in most content
,Lost Signal,med,high,underrated universal presence of darkness build in sandbox
,Buried Bloodline,low,med,underrated subclass-agnostic Devour access
,Cloudstrike,low,med,underrated total damage exotic specials (especially post-buff)
,The Mountaintop,low,med,"more versatile role than just movement, deserves Eager tier"
,Veleda-F,S,A,overrated Withering Gaze utility potential
,Sovereignty,S,A,overrated Withering Gaze utility potential
,Arcane Embrace,S,A,overrated heavy burst frame potential
,Someday,A,B,precision frame holds it back too much
,Tinasha's Mastery,A,S,rocket sidearm role shift toward utility over raw splash
,Qua Xaphan V,C,A,Destabilizing Rounds buff
,Hammerhead,A,S,Destabilizing Rounds buff
,Planck's Stride,D,C,better overall perk combo + archetype than other D options
,Crux Termination IV,S,A,replaced by Cynosure in every role
,Retraced Path,S,A,not as versatile as buffed Destabilizing Chronophage
,Apex Predator,S,A,"no Envious Arsenal, S tier is a firm grouping at this point"
,Tomorrow's Answer,S,A,"high-impact frame, Bipod swapping patched"
,Liturgy,S,A,overrated last season; generally sort of niche
,Choir of One,A,S,Destabilizing Rounds buff + extremely versatile
,Cloudstrike,C,B,Bolt Charge interaction buff
,The Prospector,C,D,overrated damage potential on most boss models
,D.A.R.C.I.,F,B,massive buffs (both to self and team)
,Dead Messenger,F,E,30% damage means more competitive vs. legendaries
,Vexcalibur,F,E,full energy on OS melee kill means infinite OS melee loop
,Skulking Wolf,F,D,deaggro effect buff
,Frenzy,A,B,effect not as valuable or slot-efficient in modern sandbox
,Attrition Orbs,B,A,"not nerfed on Velocity Baton, provably good on other weapons"
,Destabilizing Rounds,D,A,"ICD significantly reduced, Volatile Rounds added"
,Flash Counter,G,E,disorienting effect more useful given easier activation condition
,Adaptive Munitions,E,G,stealth nerf from 450% scaling to 50%
,Facet of Balance,C,B,"swapped places with Awakening, more frequently used"
,Facet of Awakening,B,C,"swapped places with Balance, less frequently used"
,Spark of Volts,H,G,Bolt Charge instead of essentially useless effect
,Spark of Momentum,H,G,Bolt Charge instead of essentially useless effect
,Spark of Frequency,G,B,faster stacking effect similar to other B fragments
,Electrostatic Mind,B,A,Ionic Trace spam enabling more relevant post-Arc buff
,,,,
Festival of the Lost 2024,,,,
,Name,VH,FotL,Notes
PERKS,Adagio,G,E,underrated single shot potential on certain weapon types
,Adrenaline Junkie,D,E,overrated uptime on grenades and perk duration
,Air Trigger,B,A,underrated reload potential + clarification on reserves
,Archer's Tempo,B,D,overrated perk amongst other high tier candidates
,Attrition Orbs,C,B,area denial frame
,Beacon Rounds,G,F,underrated reload boost
,Bipod,S,B,overrated impact on endgame PvE as a whole
,Cascade Point,S,B,too niche to be in S
,Chaos Reshaped,S,A,uptime consistency issues
,Chill Clip,B,A,expanded weapon type access
,Closing Time,N/A,H,PvP benefits only
,Cluster Bomb,E,F,slight tier restructuring
,Cold Steel,E,D,underrated when compared to Chill Clip
,Compulsive Reloader,E,F,slight tier restructuring
,Controlled Burst,B,C,overrated compared to other meta sustained damage perks
,Danger Zone,G,F,new approach to actual usability vs. perk effect
,Deconstruct,F,E,expanded weapon type access
,Demolitionist,A,B,generally less important in current sandbox
,Desperado,F,E,underrated actual DPS increase (comparable to Onslaught x2)
,Desperate Measures,A,C,spree perks in general overrated
,Destabilizing Rounds,B,D,overrated effect and more stringent upper tiers
,Dual Loader,D,E,greatly overshadowed by Grave Robber on Trench shotguns
,Eddy Current,F,D,underrated Amplified presence in endgame builds
,En Garde,G,F,slight tier restructuring
,Energy Transfer,G,F,new approach to actual usability vs. perk effect
,Ensemble,E,F,grouped with other very niche/mediocre reload perks
,Envious Arsenal,N/A,S,best general refill perk in the game
,Envious Assassin,S,B,significantly more annoying to use + the other EA released
,Explosive Head,C,D,moved with the payload perks
,Explosive Light,A,C,new approach to actual usability vs. perk effect
,Explosive Payload,B,D,lower value in current sandbox compared to before
,Feeding Frenzy,E,F,grouped with other very niche/mediocre reload perks
,Focused Fury,C,D,overrated compared to other meta precision damage perks
,Frenzy,S,A,set of boosts not as valuable in current sandbox
,Full Auto Trigger System,F,G,overrated RoF increase when Cascade exists
,Full Court,F,E,better than previously rated due to lack of HGL damage perks
,Genesis,G,F,slight tier restructuring
,Golden Tricorn,B,D,spree perks in general overrated
,Gutshot Straight,G,H,really only useful in PvP
,Harmony,E,G,overrated compared to other 20% perks in uptime
,Hatchling,F,E,underrated threadling damage even without Evolution
,Headseeker,G,H,really only useful in PvP
,Headstone,D,E,slight tier restructuring
,Jolting Feedback,N/A,A,"on-hit jolt, generally improves on Voltshot's weaknesses"
,Keep Away,F,G,barely escapes being PvP-only given common PvE ranges
,Kill Clip,D,F,overrated usage on wave frames
,Killing Tally,B,C,spree perks in general overrated
,Killing Wind,G,H,really only useful in PvP
,Lasting Impression,G,F,slight tier restructuring
,Lead from Gold,A,C,"overrated benefit in general, much stricter upper tiers"
,Lone Wolf,N/A,G,essentially Snapshot for specials
,Loose Change,F,D,3.0 debuff application extremely common in current sandbox
,Meganeura,G,F,underrated essentially 3x Dragonfly damage
,Multikill Clip,E,F,overrated upkeep potential despite high damage bonus
,One for All,B,C,spree perks in general overrated
,Onslaught,C,E,spree perks in general overrated
,Outlaw,F,G,slight tier restructuring
,Overflow,C,D,stricter upper tiers
,Paracausal Affinity,D,E,slight tier restructuring
,Physic,C,A,underrated importance for support auto usage
,Pugilist,F,E,underrated in general for certain weapon types
,Rampage,E,G,completely outclassed; new approach to perk analysis
,Recombination,A,C,overrated in the grand scheme of endgame PvE
,Reconstruction,S,C,hit very hard by +2s nerf
,Redirection,F,E,forgot about wave frame potential
,Replenishing Aegis,F,G,1s ICD + unneeded niche
,Repulsor Brace,B,E,new approach to actual usability vs. perk effect
,Reservoir Burst,B,D,overrated for damage given overflow perk nerf
,Reversal of Fortune,H,G,possibility of APR synergy
,Rimestealer,N/A,E,restricted to one of the worst subclasses
,Shield Disorient,G,F,slight tier restructuring
,Shoot to Loot,S,B,too niche to be in S
,Shot Swap,G,H,really only useful in PvP
,Sleight of Hand,F,G,overrated reload benefit and trigger condition
,Slideshot,D,B,underrated usefulness and playstyle transformation on GLs
,Slideways,G,B,buffed to parity with Slideshot
,Steady Hands,G,H,really only useful in PvP
,Strategist,F,E,underrated usefulness for rift regen
,Subsistence,C,E,overrated for endgame content
,Successful Warm-Up,G,F,slight tier restructuring
,Swashbuckler,D,E,slight tier restructuring
,Sword Logic,E,D,slight tier restructuring
,Target Lock,E,F,slight tier restructuring
,Threat Detector,F,D,underrated trigger difficulty
,Threat Remover,F,H,really only useful in PvP
,Thresh,G,F,slight tier restructuring
,Timed Payload,B,D,lower value in current sandbox compared to before
,To The Pain,G,H,really only useful in PvP
,Tracking Module,G,F,new approach to actual usability vs. perk effect
,Trench Barrel,S,A,too niche to be in S
,Triple Tap,C,D,slight tier restructuring
,Underdog,G,H,just awful and not in the game
,Unrelenting,F,E,slight tier restructuring
,Unstoppable Force,F,G,unneeded niche on glaives
,Voltshot,A,B,stricter upper tiers
,Well-Rounded,G,H,really only useful in PvP
,Whirlwind Blade,A,B,stricter upper tiers
,Withering Gaze,N/A,B,niche but irreplaceable in specific scenarios
ORIGIN TRAITS,Advanced Reflexes,D,E,stat boost not useful even if trigger isn't awful
,Alacrity,C,D,quite noticeable even if only usable solo
,Ambush,S,A,overrated damage boost
,Bitterspite,A,B,overrated damage requirement ease of use
,Collective Purpose,D,E,close to unnoticeable in most instances
,Crossing Over,C,F,essentially unnoticeable
,Dark Ether Reaper,A,S,underrated neutral play on primaries and LMGs
,Disaster Plan,E,F,essentially unnoticeable
,Dream Work,B,A,"contrary to sentiment, similar use to Restoration Ritual"
,Head Rush,E,F,essentially unnoticeable
,Omolon Fluid Dynamics,C,D,little overrated vs. other perks in same tier
,Psychohack,B,C,"small damage reduction for a short time, hard to notice"
,Radiolaria Transposer,S,A,"damage pools don't do very much damage, still counter-based"
,Search Party,F,E,pseudo-Snapshot is noticeable in some cases
,SUROS Synergy,D,E,slight tier adjustments to match other E tier placements
,To Excess,D,E,slight tier adjustments to match other E tier placements
,Unsated Hunger,D,E,slight tier adjustments to match other E tier placements
,Vanguard's Vindication,E,C,10 HP (correction) and noticeable in some cases
,Wild Card,B,C,splash is quite small and ICD is unfortunate
EXOTIC WEAPONS,Ager's Scepter,F,E,slight tier adjustments to match other E tier placements
,Alethonym,N/A,C,ammo farming and vertical movement with no special
,Arbalest,D,F,overshadowed by Eriana's Vow and generally not very good
,Bad Juju,E,D,explosion frequency buffed heavily
,Bastion,C,E,overrated general usefulness in endgame content
,Buried Bloodline,C,A,underrated universal Devour access + great ammo given nerfs
,Choir of One,N/A,A,"still decently ammo-efficient, great burst on majors"
,Cloudstrike,B,C,overrated general damage potential a little
,Collective Obligation,E,F,overrated damage potential and understated nicheness
,Conditional Finality,D,E,well-designed exotic that doesn't really have a home
,Dead Messenger,D,F,pretty much irrelevant compared to legendary waves
,Deterministic Chaos,E,G,weaken on-hit is less relevant than ever
,Dragon's Breath,C,D,too build-dependent for a relatively mediocre effect
,Edge of Action,E,F,overshadowed a little by No Hesitation
,Gjallarhorn,A,B,ability add clear meta and HGL damage meta
,Graviton Lance,C,B,two tiers below Sunshot was too much
,Ice Breaker,N/A,D,gimmicky and not particularly strong for general play
,Khvostov 7G-0X,C,B,kinetic on-hit add clear option in Graviton tier
,Le Monarque,F,E,"slight tier adjustment, better than F tier options"
,Legend of Acrius,B,C,little overrated due to niche of melee damage
,Leviathan's Breath,D,B,reserve buff + reserve mod swap nerf
,Lumina,B,C,overshadowed a little by No Hesitation
,Malfeasance,C,E,Lucky Pants nerf
,Merciless,C,E,extremely niche and Choir is generally better
,Necrochasm,E,C,underrated due to trigger difficulty in high level content
,Outbreak Perfected,C,B,excellent super and Transcendence generation for damage
,Parasite,B,A,excellent with holsters in roam and DPS content
,Red Death Reformed,D,F,no splash damage and unnecessary sustain
,Revision Zero,E,F,unimpressive champ damage given windup cost
,Salvation's Grip,E,F,too niche to be in E
,Still Hunt,S,C,significant nerfs and move towards heavy focus
,The Fourth Horseman,B,C,less relevant due to Choir release
,The Last Word,F,E,huge buff for LP damage
,The Navigator,A,B,less relevant after grapple melee nerfs
,The Prospector,F,C,massive damage profile rework
,The Wardcliff Coil,E,D,Raneiks usage
,Thunderlord,F,E,underrated for easy universal add clear
,Ticuu's Divination,E,F,overrated for endgame content
,Tractor Cannon,S,A,not as meta-defining with weaken prevalence
,Verglas Curve,E,F,overrated for endgame content
,Whisper of the Worm,C,B,still strong sustained and total even post-sniper season
,Wish-Ender,E,F,overrated for endgame content
,Witherhoard,D,F,Lost Signal release
ARCHETYPES,Breech GL - Area denial,A,S,generally very potent in current sandbox
,Breech GL - Double fire,C,B,underrated last patch compared to Micro-Missile
,Drum GL - Adaptive,S,A,comparatively worse overall vs. rapids post-buff
,Drum GL - Rapid,A,S,buffed to become best HGL archetype
,Hand cannon - Heavy burst,A,B,nerfed with Lucky Pants and overall damage
,Shotgun - Heavy burst,N/A,C,very similar to slug damage profile
,,,,
Vesper's Host launch,,,,
,Name,S25,VH,Notes
BGLs,VS Velocity Baton,N/A,S,best orb generator + decent neutral perks
,Tusk of the Boar,C,B,Slideways buff
FUSIONS,VS Gravitic Arrest,N/A,B,"worse than Glacioclasm for Withering use, no other perks"
HGLs,VS Chill Inhibitor,N/A,S,"best HGL by far, excellent perks + new best frame"
,Canis Major,C,E,new E tier created to better segment HGLs
,Cry Mutiny,C,E,new E tier created to better segment HGLs
,Berenger's Memory,D,F,new F tier created to better segment HGLs
,Blast Battue,D,F,new F tier created to better segment HGLs
,Crowd Pleaser,D,F,new F tier created to better segment HGLs
,Memory Interdict,D,F,new F tier created to better segment HGLs
,Outrageous Fortune,D,F,new F tier created to better segment HGLs
,Tarnation,D,F,new F tier created to better segment HGLs
,Hullabaloo,A,C,overrated perk pool last patch
,Swarm of the Raven,B,D,overrated perk pool last patch
,Typhon GL5,B,D,overrated perk pool last patch
,Acosmic,A,B,tier shift thanks to VS Chill Inhibitor
,Bitter/Sweet,S,A,tier shift thanks to VS Chill Inhibitor
,Cataphract GL3,A,B,tier shift thanks to VS Chill Inhibitor
,Dimensional Hypotrochoid,C,D,tier shift thanks to VS Chill Inhibitor
,Edge Transit,S,A,tier shift thanks to VS Chill Inhibitor
,Interference VI,C,D,tier shift thanks to VS Chill Inhibitor
,Koraxis's Distress,A,B,tier shift thanks to VS Chill Inhibitor
,Love and Death,B,D,tier shift thanks to VS Chill Inhibitor
,Marsilion-C,A,B,tier shift thanks to VS Chill Inhibitor
,Regnant,B,C,tier shift thanks to VS Chill Inhibitor
