WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Tomorrow's Answer,29,Void,High-Impact,Trials,,37,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Envious Assassin
Air Trigger","Reaper's Tithe
Bait and Switch
Bipod",Wild Card,"the original Envious Arsenal rocket, unfortunately the wrong frame",12,B
,Bad Omens,29,Void,Aggressive,Gambit,,35,Yes,Quick Launch,Alloy Casing,"Auto-Loading Holster
Bipod","Elemental Honing
Explosive Light
Cluster Bomb",Gun and Run,seems great for roam content,13,B
,Red Herring,29,Void,Adaptive,Throne World,,36,Yes,Quick Launch,Impact Casing,"Reconstruction
Cluster Bomb",Elemental Honing,Psychohack,"pretty limited perk pool, Psychohack is decent on a rocket though",14,B
,Crux Termination IV,23,Arc,Aggressive,Banshee,,45,Yes,Quick Launch,Impact Casing,"Clown Cartridge
Slideshot","Surrounded
Explosive Light
Bipod",Wild Card,would maybe be relevant if it had less situational sustained perks,15,B
,Haliaetus,27,Strand,High-Impact,"Tenet of Bravery, Banshee",,37,Yes,Quick Launch,Impact Casing,"Cluster Bomb
Envious Assassin
Auto-Loading Holster","Aggregate Charge
Reaper's Tithe
Bipod",Bray Legacy,just a double damage high-impact after Bray Legacy fix,16,C
,Sleepless,29,Arc,High-Impact,Dreaming City,,36,Yes,Quick Launch,Impact Casing,"Reconstruction
Auto-Loading Holster","Gear Shift
Elemental Honing
Bipod",Advanced Reflexes,okay loader perks + mid frame + decent sustained perks,17,C
,Folded Root,27,Void,Aggressive,Tenet of Bravery,,37,Yes,Quick Launch,Impact Casing,"Air Trigger
Cluster Bomb",Bipod,Tenacity,very strong roam pick with Bipod thansk to Air Trigger + Tenacity,18,C
,Heretic's Fervor,25,Stasis,Aggressive,Kell's Fall,,31,Yes,Quick Launch,Impact Casing,"Slideshot
Auto-Loading Holster
Field Prep","Bipod
Explosive Light",Dark Ether Reaper,Slide/Bipod an option for roam,19,C
,Pyroclastic Flow,29,Solar,Precision,Nessus,,42,Yes,Quick Launch,Impact Casing,"Cluster Bomb
Auto-Loading Holster
Field Prep","Bipod
Aggregate Charge
Surrounded",Fail-deadly,"interesting Cluster/Bipod tracking option for roam, Fail-deadly for mag too",20,C
,Micromort,28,Arc,Precision,Tenet of Bravery,,41,Yes,Quick Launch,Impact Casing,"Cluster Bomb
Envious Arsenal
Clown Cartridge","Bipod
Bait and Switch","Nail, Meet Hammer","origin trait works well due to barrier intrinsic, decent option for roam",21,C
,Faith-Keeper,29,Void,Precision,Encore,,36,Yes,Quick Launch,Impact Casing,"Clown Cartridge
Field Prep","Bipod
Lasting Impression",Radiolaria Transposer,"solid origin + 1st column for a Bipod rocket, good for Witness prebreak",22,C
,Ascendancy,29,Solar,Precision,Solo Ops,,35,Yes,Quick Launch,Impact Casing,"Reconstruction
Attrition Orbs","Bipod
Cluster Bomb
Reaper's Tithe",Vanguard Determination,"standard precision roam option, but has Attrition + Cluster for orb gen",24,C
,Braytech Osprey,21,Void,High-Impact,Zavala,,38,No,Quick Launch,Impact Casing,"Cluster Bomb
Auto-Loading Holster
Field Prep","Bipod
Lasting Impression",Vanguard's Vindication,most plain Bipod roam option,25,C
,Crowning Duologue,29,Strand,Precision,Tenet of Bravery,,45,Yes,Quick Launch,Impact Casing,"Reconstruction
Auto-Loading Holster
Air Trigger","Bipod
Bait and Switch",Dream Work,"Dream Work potentially decent for loader if Air Trigger, otherwise standard Bipod option",26,C
,Subzero Salvo,29,Arc,Precision,Europa,,34,Yes,Quick Launch,Impact Casing,"Impromptu Ammunition
Auto-Loading Holster
Supercharged Magazine","Bipod
Aggregate Charge
Gear Shift",Winterized Gear,sameish niche as other C tier precision Bipod options,27,C
,Semiotician,29,Strand,High-Impact,Xur,,40,Yes,Quick Launch,Impact Casing,Field Prep,"Bipod
Explosive Light",Head Rush,very limited perks for a Bipod option but still usable,28,C
,Hoosegow,11,Arc,Adaptive,Xur,,25,No,Quick Launch,Impact Casing,Auto-Loading Holster,Cluster Bomb,None,"only has Cluster Bomb, still not the worst given archetype",29,D
,Blowout,19,Arc,Adaptive,Crucible,,29,Yes,Quick Launch,Impact Casing,Demolitionist,"Lasting Impression
Explosive Light
Cluster Bomb",One Quiet Moment,"very outdated damage perks, no Bipod, bad loader options",30,D
,Code Duello,13,Solar,High-Impact,"Xur, Dares",,42,No,Quick Launch,Impact Casing,Auto-Loading Holster,Lasting Impression,None,buffed Lasting puts this over Bump,31,D
,Bump in the Night,29,Stasis,Aggressive,Presage,,40,Yes,Quick Launch,Impact Casing,Auto-Loading Holster,Frenzy,Extrovert,extremely limited perk pool,32,D
,Palmyra-B,29,Stasis,Precision,Banshee,,42,Yes,Quick Launch,Impact Casing,Auto-Loading Holster,"Lasting Impression
Explosive Light",Häkke Breach Armaments,worst frame and mostly dated damage perks,33,D
,Royal Entry,13,Void,Precision,Zavala,,45,No,Quick Launch,Impact Casing,Auto-Loading Holster,"Lasting Impression
Cluster Bomb
Clown Cartridge",Vanguard's Vindication,slightly worse than Palmyra overall,34,D
,Shining Sphere,7,Arc,Adaptive,Iron Banner,,38,No,Quick Launch,Impact Casing,Auto-Loading Holster,Ambitious Assassin,None,no real damage perks,35,E
