WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Fractethyst,29,Stasis,Precision,Shattered Throne,,45,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Lead from Gold",Trench Barrel,Ignoble Deeds,"A Sudden Death roll on worse frame, not the worst though",21,B
,MIDA Macro-Tool,27,Arc,MIDA Synergy,"Tenet of Bravery, Shaxx",,44,Yes,Barrel Shroud,Assault Mag,"Grave Robber
Discord","One-Two Punch
Trench Barrel",Roar of Battle,Grave + 12P/Trench core on a mediocre frame,22,B
,Compass Rose,29,Solar,Precision,Tenet of Bravery,,45,Yes,Barrel Shroud,Assault Mag,Grave Robber,"One-Two Punch
Trench Barrel",Dream Work,same as MIDA just no Discord and better origin,23,B
,Astral Horizon,28,Kinetic,Aggressive,Trials,,40,Yes,Barrel Shroud,Assault Mag,"Lead from Gold
Stopping Power","All-Star
One-Two Punch
Vorpal Weapon",Wild Card,"in theory best kinetic Parasite swap option, but not very appealing otherwise",24,B
,Trachinus,27,Stasis,Rapid Slug,Tenet of Bravery,,50,Yes,Fluted Barrel,Assault Mag,"Lead from Gold
Rapid Hit","Chill Clip
Precision Instrument",Tenacity,"probably the best Chill Clip shotgun, not that useful overall given existing Overload intrinsic",25,B
,Gunnora's Axe,29,Solar,Pinpoint Slug,Iron Banner,,42,Yes,Fluted Barrel,"Extended Mag
Ricochet Rounds","Threat Detector
Heal Clip","Cascade Point
Precision Instrument
Incandescent",Suros Synergy,"a more precise option than Pure Recollection for dying, definitely more niche though",26,B
,Prophet of Doom,29,Arc,Precision,Garden of Salvation,,48,Yes,Barrel Shroud,Assault Mag,"Reconstruction
Envious Arsenal","One-Two Punch
Gear Shift
Jolting Feedback",Photoinhibition,"no Grave Robber but has some perk diversity, JF can jolt in one shot",27,B
,Seventh Seraph CQC-12,29,Solar,Lightweight,Cosmodrome,,27,Yes,Barrel Shroud,Assault Mag,Discord,"Chain Reaction
Surrounded
Trench Barrel",Eyes Up,probably the best pairings for a pure Discord shotgun,28,C
,Ded Gramarye IV,29,Arc,Lightweight,Banshee,,19,Yes,Barrel Shroud,Assault Mag,"Discord
Slickdraw","Chain Reaction
Surrounded
Vorpal Weapon",Wild Card,like CQC but no Trench and Wild Card instead,29,C
,Dead Weight,17,Arc,Rapid,Gambit,,49,No,Barrel Shroud,Tactical Mag,"Grave Robber
Auto-Loading Holster
Lead from Gold","Surrounded
Trench Barrel
One-Two Punch",Field-Tested,"held back by lack of enhancement, but perk pool is actually very decent",30,C
,Python,29,Void,Aggressive,Gambit,,37,Yes,Barrel Shroud,Assault Mag,Overflow,"Trench Barrel
One-Two Punch
Withering Gaze",Gun and Run,"good Trench frame but first column is underwhelming, has Withering for some reason",31,C
,Someday,29,Kinetic,Precision,Pale Heart,,37,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Lead from Gold","Recombination
Vorpal Weapon",Dealer's Choice,"12P + Recombination is completely unheard of, unfortunately not that useful",32,C
,Matador 64,29,Arc,Precision,Grasp of Avarice,,45,Yes,Barrel Shroud,Assault Mag,"Lead from Gold
Supercharged Magazine","One-Two Punch
Gear Shift",Unburied Treasure,mediocre 1st column + 12P on a bad frame,33,C
,Deadpan Delivery,22,Arc,Aggressive,Zavala,,28,No,Barrel Shroud,Assault Mag,"Discord
Overflow
Slickdraw","One-Two Punch
Trench Barrel",Vanguard's Vindication,"no enhancements, but overall not a bad aggressive with standard perks",34,C
,Sojourner's Tale,25,Solar,Pinpoint Slug,"Xur, Dares",,43,Yes,Fluted Barrel,Assault Mag,"Auto-Loading Holster
Discord","Precision Instrument
Incandescent
Harmony",Splicer Surge,"only Discord slug, otherwise not very notable at all",35,C
,Precipial,27,Void,Precision,Kepler,,45,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Reconstruction","Vorpal Weapon
Discord",Exhaustive Research,12P + Vorpal is somewhat novel but lack of support everywhere else makes this unappealing,36,C
,Reckless Endangerment,29,Kinetic,Lightweight,Solo Ops,,26,Yes,Barrel Shroud,Assault Mag,Grave Robber,"Trench Barrel
All-Star",Vanguard Determination,"not a great frame for Trench spamming, Grave is nice but no 12P",37,C
,Hawthorne's Field-Forged Shotgun,28,Stasis,Lightweight,"Tenet of Bravery, Banshee",,10,Yes,Barrel Shroud,Assault Mag,"Lead from Gold
Grave Robber",Chill Clip,Field-Tested,"worse due to range limitations vs. Trachinus, also lower shot count",38,C
,Scavenger's Fate,25,Void,Precision,"Xur, Kell's Fall?",,42,Yes,Barrel Shroud,Assault Mag,Discord,"Vorpal Weapon
Surrounded
Destabilizing Rounds",Dark Ether Reaper,decent Discord roam option especially with origin but no other use case,39,C
,Blasphemer,29,Kinetic,Pinpoint Slug,Moon,,48,Yes,Fluted Barrel,Assault Mag,Fourth Time's the Charm,All-Star,Loss,"pretty good with Kinetic Synthesis, unfortunately frame sucks",40,C
,Fortissimo-11,29,Kinetic,Pinpoint Slug,Zavala,,45,Yes,Fluted Barrel,Assault Mag,Fourth Time's the Charm,"Vorpal Weapon
Focused Fury
Surrounded",Vanguard Determination,FTTC + decent damage perk core,41,D
,Nessa's Oblation,29,Void,Pinpoint Slug,Root of Nightmares,,49,Yes,Fluted Barrel,Assault Mag,Fourth Time's the Charm,"Vorpal Weapon
Focused Fury",Harmonic Resonance,"same as Fortissimo, just no Surrounded",42,D
,Supercluster,29,Strand,Pinpoint Slug,Starcrossed,,46,Yes,Fluted Barrel,Assault Mag,"Fourth Time's the Charm
Slice
Lead from Gold","Cascade Point
Vorpal Weapon
Surrounded",Dragon's Vengeance,"same as Nessa, just no Focused Fury",43,D
,Without Remorse,29,Solar,Lightweight,Presage,,22,Yes,Barrel Shroud,Assault Mag,Threat Detector,"One-Two Punch
Vorpal Weapon",Extrovert,outdated QoL-focused 1mag 12P option,44,D
,Retold Tale,29,Void,Precision,Dreaming City,,38,Yes,Barrel Shroud,Assault Mag,Quickdraw,"One-Two Punch
Withering Gaze",Advanced Reflexes,"bad frame, awful 1st column, has Withering though",45,D
,Wastelander M5,29,Kinetic,Lightweight,Dares,,26,Yes,Barrel Shroud,Assault Mag,"Pugilist
Lead from Gold","One-Two Punch
Trench Barrel",Hot Swap,"very dated lightweight 12P option, no reload assists",46,D
,Retrofuturist,29,Void,Lightweight,Crucible,,20,Yes,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Vorpal Weapon
High Ground",Roar of Battle,"not a good Trench frame, okay perks in 2nd paired with ALH",47,D
,Ragnhild-D,29,Kinetic,Aggressive,Banshee,,37,Yes,Barrel Shroud,Assault Mag,Auto-Loading Holster,One-Two Punch,Häkke Breach Armaments,"the original kinetic 12P pick, unfortunately an aggressive despite ALH",48,D
,Hand in Hand,20,Arc,Aggressive,Banshee,,32,No,Barrel Shroud,Assault Mag,Slideshot,"Trench Barrel
One-Two Punch
Cascade Point",Field-Tested,"no good refill perk, standard aggressive perks in 2nd column",49,D
,The Comedian,15,Void,Aggressive,Zavala,,40,No,Barrel Shroud,Assault Mag,Lead from Gold,"Trench Barrel
Vorpal Weapon",Stunning Recovery,"same as Hand in Hand with Lead instead of Cascade, arguably worse origin",50,D
,Mindbender's Ambition,29,Solar,Aggressive,Zavala,,40,Yes,Barrel Shroud,Assault Mag,Threat Detector,"One-Two Punch
Vorpal Weapon",Problem Solver,"no Trench or loader perk on an aggressive, origin not bad",51,D
,Deadlock,29,Stasis,Precision,Crucible,,48,Yes,Barrel Shroud,Assault Mag,Quickdraw,"One-Two Punch
Vorpal Weapon",None,like Retold but without Withering option or origin trait,52,D
,No Reprieve,29,Stasis,Pinpoint Slug,Xur,,41,Yes,Fluted Barrel,Assault Mag,Triple Tap,"Focused Fury
Surrounded",Right Hook,no loader perk but Triple Tap + Focused Fury isn't bad,53,E
,Legato-11,25,Solar,Pinpoint Slug,Banshee,,38,Yes,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Focused Fury
Cascade Point
Vorpal Weapon",Suros Synergy,"no ammo gen perk, decent perk spread in 2nd column",54,E
,"First In, Last Out",11,Arc,Pinpoint Slug,Xur,,40,No,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Vorpal Weapon
Surrounded",None,like Legato but no Focused Fury,55,E
,Bonechiller,29,Void,Pinpoint Slug,Europa,,40,Yes,Fluted Barrel,Assault Mag,"Triple Tap
Auto-Loading Holster
Lead from Gold",Precision Instrument,Winterized Gear,"better 1st column than other E slugs, but awful damage perk spread",56,E
,The Inquisitor,29,Arc,Pinpoint Slug,Trials,,52,Yes,Fluted Barrel,Assault Mag,Grave Robber,"Cascade Point
Vorpal Weapon",Roar of Battle,"Cascade Point on a slug, otherwise very mediocre",57,E
,Riiswalker,29,Kinetic,Lightweight,Iron Banner,,25,Yes,Barrel Shroud,Assault Mag,"Discord
Slickdraw",Vorpal Weapon,Skulking Wolf,outdated frame and spread for pellet swapping,58,E
,Toil and Trouble,4,Kinetic,Aggressive,Dares,,40,No,Barrel Shroud,Assault Mag,Auto-Loading Holster,Full Auto Trigger System,None,literally no damage perk,59,F
,Wishbringer,5,Solar,Rapid,"Shaxx, Dares",,64,No,Barrel Shroud,Tactical Mag,Grave Robber,Auto-Loading Holster,None,not even Full Auto RoF increase,60,F
