INFO,,,,,,,ANALYSIS,
🖼️,Artifact,Mod,Tier,Tags,Trigger,Effect,Description,Tier
,NPA Repulsion Regulator,Supernova,III,roam,Void Breach pickup,next void damage within 10s creates 5?m weaken burst,"mostly exists to synergize with other void artifact mods, not amazing in isolation",B
,NPA Repulsion Regulator,Unto the Breach,I,roam,void-debuffed kill with void equipped,Void Breach,easy Void Breach access for insane void artifact,B
,NPA Repulsion Regulator,Void Weapon Channeling,III,roam,void weapon kill with at least 1 charged void ability,gives up to 4 void weapon surge stacks for every charged void ability for 11s,little build-dependent but still very easy access to roam surges,B
,NPA Repulsion Regulator,Improved Unraveling,I,"DPS
roam",passive,15% unraveling thread damage,not really a difference maker,C
,NPA Repulsion Regulator,Overload Grenades,II,roam,void grenade damage,Overload,"1/3 of the sandbox now Overloads, very unneeded",C
,NPA Repulsion Regulator,Squad Goals,III,roam,"finisher with super-matched elemental buff (Amplified, Devour, or Woven Mail)","shares Amplified, Devour, and Woven Mail with allies within ?m",sounds cool but isn't really that useful in practice,C
,NPA Repulsion Regulator,Strand Soldier,II,roam,Woven Mail on strand,Unraveling Rounds for 8s,"significantly lower value in a post-universal stun world, also would be a lot better on a strand artifact",C
,NPA Repulsion Regulator,Amped Up,I,roam,arc or Prismatic equipped,Amplified duration to 20s,"hard to notice, Amplified is almost always up",C
,Queensfoil Censer,Argent Ordnance,III,"DPS
roam",firing rocket with Armor Charge,"consumes one Armor Charge to give 15% rocket damage, ? reload, 0.?x reload duration for 4.5s",15% boost to Truth and Hezen count me in,S
,Queensfoil Censer,Blast Radius,I,roam,2 GL or rocket kills within ?s of each,Armor Charge,excellent Armor Charge source that pairs well with a variety of charge consumption mods,S
,Queensfoil Censer,Solo Operative,III,"DPS
roam","crit kills while solo (25 stacks, lost on death)",1.2% weapon damage per stack (up to 30%),"higher global stacking boost than anything else, just needs work to stack",S
,Queensfoil Censer,Hail The Storm,III,"roam
DPS","stasis crystal shatter
passive","5 homing 46 damage ? slow ice shards
12.5% enemy shatter damage, 25% crystal shatter damage","helps with chaining freezes in stasis builds, also a super damage boost for Glacial Quake",A
,Queensfoil Censer,Heart of the Flame,I,DPS,solar super cast (scales up to 5 nearby allies),"gives allies within 15m Radiant, up to 15% super damage (Well caster gets buff for 5s)",worse than Limit Break in most cases but situationally useful due to instant Radiant and Well potential,A
,Queensfoil Censer,Horde Shuttle,III,roam,"10% enemy health weapon damage to unraveled enemy
passive","Threadling on 0.5s ICD
Threadlings sever","must-have for any Threadling build, also good for grapple neutral",A
,Queensfoil Censer,Perpetual Destruction,II,roam,"non-exotic rocket kills (counter: 4 minors, 3 elites, 1 miniboss+)","10% heavy ammo rounded up, ? reload and 0.?x reload duration for 10s",excellent for Bipod Pack rocket spamming,A
,Queensfoil Censer,To Shreds,III,"roam
DPS","6 severed weapon damage instances
severed kill","inflicts unravel
makes Into the Fray triple Woven Mail + 15 HP pulses on kill location","first effect is sort of useless, second effect is great",A
,Queensfoil Censer,Wished Into Being,I,roam,ability kill with >80% super but not charged,"3 7.14% orbs, ?s ICD",basically gives 25% faster super if ability kills are being spammed,A
,Queensfoil Censer,Anti-Champion Nosecone,II,roam,passive,33% rocket damage to Champions,limited applicability but obviously good if doing some sort rocket spam strat in a conquest or something similar,B
,Queensfoil Censer,Creeping Chill,II,roam,stasis-debuffed stasis kill,6?m 20 slow burst,"requirement is a little tight, but effect is good if building into it",B
,Queensfoil Censer,Fever and Chill,I,"roam
DPS",25% mag + 1 rounded down landed (bow needs 3) with solar or stasis weapons,Radiant for 10-15s or Frost Armor x1 for 9s,pretty decent especially for getting Radiant but other equivalents like Radiant Orbs are better,B
,Queensfoil Censer,Frigid Glare,III,roam,stasis crit kill with Frost Armor,6m freezing explosion,steep requirement but solid effect,B
,Queensfoil Censer,Kindling Trigger,I,roam,"Radiant solar weapon damage to non-scorched combatants, doesn't work in Well?",30-45 scorch,"guarantees base-scaled ignition, maybe decent for solar add clear stagger",B
,Queensfoil Censer,Pillar of Ice,II,roam,frozen kill,stasis crystal (2 if boss kill),effort:crystal ratio is pretty good on this one,B
,Queensfoil Censer,Rays of Precision,III,roam,Radiant solar crit kills,ignition,basically a very powerful Firefly for solar weapons,B
,Queensfoil Censer,Revitalizing Blast,II,roam,Champion stun,ignition,satisfying and can chain into more ignitions but not really that impactful,B
,Queensfoil Censer,Unraveling Orbs,II,"roam
DPS",orb pickup or Tangle throw,Unraveling Rounds for 14s,synergizes with unravel requirements on other mods,B
,Queensfoil Censer,Torch,I,roam,darkness-debuffed non-bosses,5% weapon damage,almost unnoticeable,C
,Queensfoil Censer,Armorsmith,I,"roam
DPS",breaking enemy shield,"Resist x1, +100% melee damage for 6s","applies on finisher, but still not that great given generic resist override",C
,Queensfoil Censer,Dragon's Bite,II,roam,3 shield breaks using strand or stasis weapon,suspend or freeze,mediocre effect for 3 separate shield breaks,C
,Slayer Baron Apothecary Satchel,Curative Orbs,II,roam,"first breaking an enemy shield
orb, elemental pickup, or Tangle destruction","7.15% orb
40 HP","enables super spam / special finisher loop, better than Shatter due to less restrictive conditions and heal",S
,Slayer Baron Apothecary Satchel,Arc Compounding,III,DPS,blinded enemy,15% arc damage,"would be better if there was another global booster in this artifact, or if arc weapons were better",A
,Slayer Baron Apothecary Satchel,Hail The Storm,II,"roam
DPS","stasis crystal shatter
passive","5 homing 46 damage ? slow ice shards
12.5% enemy shatter damage, 25% crystal shatter damage","helps with chaining freezes in stasis builds, also a super damage boost for Glacial Quake",A
,Slayer Baron Apothecary Satchel,Total Carnage,I,roam,elite+ finisher,"Resist x2 for 11s, 100 HP, starts health regen","elite+ requirement can be annoying, but effect is pretty strong",A
,Slayer Baron Apothecary Satchel,Debilitating Wave,II,roam,finisher,"15m 180 super-matched wave, blind/weaken/slow if on arc/void/stasis",decent finisher mod in probably the strongest finisher spam sandbox ever,B
,Slayer Baron Apothecary Satchel,Conductive Cosmic Crystal,III,DPS,stasis-debuffed enemy,5% arc and void ability damage,"in isolation a good boss DPS effect but given that there are no other global boosters in this artifact, not so great",B
,Slayer Baron Apothecary Satchel,Crystalline Converter,I,roam,"8 / 12 / 15 Stasis Shard pickups, then powered stasis melee hit
stasis weapon kill after class ability","1 / 2 / 3 crystals spawned
Stasis Shard spawned","pretty steep requirement, builds that benefit from crystals already spawn plenty of them",B
,Slayer Baron Apothecary Satchel,Frost Renewal,II,roam,critical health with Frost Armor,12m freezing burst and 1x Frost Armor to allies,"fairly solid defensive effect all things considered, just build-dependent",B
,Slayer Baron Apothecary Satchel,Power from Pain,I,roam,3 consecutive weakened kills within 4s of each (weaken on killing blow counts),"Devour for 5-7.5s, Void Breach","would be better on NPA, honestly not that great given high weaken kill requirement",B
,Slayer Baron Apothecary Satchel,Retinal Burn,II,"DPS
roam",2 arc non-blinded crits within ?s of each with Armor Charge,consumes one Armor Charge to trigger ?m blinding burst for ?s,basically just exists to pair with Arc Compounding,B
,Slayer Baron Apothecary Satchel,Served Cold,III,roam,"Stasis Shard pickup
Void Breach pickup","10% class energy
10% melee energy",just supplements what pickups already do,B
,Slayer Baron Apothecary Satchel,Supernova,III,roam,Void Breach pickup,next void damage within 10s creates 5?m weaken burst,"mostly exists to synergize with other void artifact mods, not amazing in isolation",B
,Slayer Baron Apothecary Satchel,The Thick of It,I,roam,"3 kills within ?s of each within 15?m of 3 enemies
within 15?m of 3 enemies","Armor Charge
? handling and ? charge rate","decent way of getting easy Armor Charge, other benefits are not really significant besides maybe on Ergo",B
,Slayer Baron Apothecary Satchel,Trace Evidence,I,"roam
DPS","2 arc-debuffed crits within 1?s of each or 3 arc-debuffed kills within ?s of each
Ionic Trace pickup
","Ionic Trace (4s ICD)
Armor Charge","free traces and Armor Charge, not the greatest uptime but still not bad",B
,Slayer Baron Apothecary Satchel,Void Renewal,II,roam,"void weapon kills with Devour (counter: 6 minors, 3 elites, 2 miniboss+)
Void Breach pickup","Void Breach
? handling, ? reload, refills shotguns/GLs",counter definitely a bit steep for just one Void Breach,B
,Slayer Baron Apothecary Satchel,Weakened Clear,II,"DPS
roam",boss/champ GL damage or GL enemy shield break,"15% weaken for 20?s, non-refreshable, non-extensible, refills stowed weapons (10?s ICD)","very long weaken but doesn't interact with extensions, refill has a long ICD",B
,Slayer Baron Apothecary Satchel,Wind Chill,I,roam,"30% mag + 1 rounded down landed withins 3s of each with stasis weapons
stasis weapon slowed/frozen damage","Frost Armor
?% chance to spawn Stasis Shard","decent neutral, also has boss damage applications if using stasis weapons",B
,Slayer Baron Apothecary Satchel,Kinetic Impacts,III,DPS,5 GL hits within 1?s of each,"372 damage kinetic Unstoppable shockwave, ?s ICD","minuscule DPS increase for GLs, doesn't stack across fireteam",C
,Slayer Baron Apothecary Satchel,Brain Freeze,III,roam,enemy freeze,~4?m radius nerfed slow mini duskfield for duration of freeze,mini duskfield slow stacks are extremely slow and does almost no damage,C
,Slayer Baron Apothecary Satchel,Old God's Rite,III,roam,Void Breach pickup,next void damage within 10s creates 8 ~10m 334 damage homing void orbs,orbs have horrible tracking and are very gimmicky,C
,Slayer Baron Apothecary Satchel,Killing Breeze,I,roam,3 weapon kills within 3s of each,"? mobility for 5s, refreshable",does next to nothing in PvE,D
,Tablet of Ruin,Elemental Supercharger,III,roam,exhausted or severed super-matched kill,2?% super energy,"best super generation, works with all Overload weapons",S
,Tablet of Ruin,Limit Break,III,DPS,super cast at critical health or with super-matched buff,15% super damage (8s duration for burst supers),generic super damage boost,S
,Tablet of Ruin,Defibrillating Blast,III,"DPS
roam","Champion stun
Bolt Charge discharge","x10 Bolt Charge
inflicts jolt, gives ~55 HP, starts crit health regen",free damage sustain with Storm's Keep,A
,Tablet of Ruin,Dielectric,I,roam,"arc-debuffed kill
3 arc-debuffed kills within 6s of each","Bolt Charge
7.15% orb, 40 HP","Bolt Charge on all jolt builds that don't have access, also free orbs",A
,Tablet of Ruin,Elemental Siphon,I,roam,"3 kinetic or super-matched weapon kills within 3?s of each
super-matched elemental pickup","super-matched elemental pickup
5% super, 2s ICD","better version with super gains, especially good with pickup spam builds",A
,Tablet of Ruin,Flashover,II,"DPS
roam","reaching x10 Bolt Charge
passive","Amplified for 15s
50% increased Bolt Charge damage",given meta direction Flashover didn't need this much of a nerf but still a decent overall effect,A
,Tablet of Ruin,Gold from Lead,II,roam,5-6 special brick pickups,"8% heavy ammo, rounded up",another helping of heavy ammo gen on top of the many other sources of plentiful ammo fountains in the sandbox,A
,Tablet of Ruin,Harsh Refraction,II,"DPS
roam",3 matching debuffed trace rifle hits ,"50% trace damage for 4s (35% for exotic special/Lodestar, 20% for Microcosm after 4 hits)",good for trace add clear,A
,Tablet of Ruin,Heavy Ordnance Regeneration,III,"roam
DPS",8 LMG or 2 rocket damage instances within 7s of each,"Resist x2 for 15.5s, 85% base grenade/melee regen for 10s, elite+ kills disorient minors within ?m",free generic DR when doing rocket DPS or LMG add clear,A
,Tablet of Ruin,Hold the Line,I,roam,within 15m of 3 enemies with glaive or LMG readied,"? stability, 30 reload, weapon kills (including glaive melee) give 55 HP",free healing when doing LMG add clear,A
,Tablet of Ruin,Horde Shuttle,II,roam,"10% enemy health weapon damage to unraveled enemy
passive","Threadling on 0.5s ICD
Threadlings sever","must-have for any Threadling build, also good for grapple neutral",A
,Tablet of Ruin,Maligned Harvest,II,"roam
DPS","inflicting volatile 4 times within ?s of each
inflicting weaken (once per source)","next void damage within 10s creates 5?m weaken burst
25 HP Void Overshield for 10-15s",excellent void build component,A
,Tablet of Ruin,Particle Reconstruction,III,"DPS
roam","fusion/LFR hits (5 stacks)
50% fusion/LFR mag + 1 rounded down landed","5% / 10.25% / 15.8% / 21.6% / 27.6% fusion/LFR damage for ?s
10% mag refill, hits have 1s ICD
","best-in-class artifact debuff for non-Felwinter solos, also has a Rewind Rounds effect",A
,Tablet of Ruin,Perpetual Destruction,I,roam,"non-exotic rocket kills (counter: 4 minors, 3 elites, 1 miniboss+)","10% heavy ammo rounded up, ? reload and 0.?x reload duration for 10s",excellent for Bipod Pack rocket spamming,A
,Tablet of Ruin,To Shreds,III,"roam
DPS","6 severed weapon damage instances
severed kill","inflicts unravel
makes Into the Fray triple Woven Mail + 15 HP pulses on kill location","first effect is sort of useless, second effect is great",A
,Tablet of Ruin,No Bell,II,"DPS
roam","2 special glaive melee kills within 3?s of each
blocking damage with glaive shield","2 ammo to special glaives
additive 85% glaive melee damage for 6s",definitely a lot worse now that melee bonus isn't multiplicative,B
,Tablet of Ruin,Vile Weave,II,roam,"Tangle detonation
Tangle pickup","sever for ?s
Tangle cooldown reduced by 4s",decent sever chaining effect on the best strand artifact,B
,Tablet of Ruin,Void Flux,III,roam,weakened void weapon kill,?m volatile burst (?m for elite+ kill),not the strongest effect given the requirements but not bad,B
,Tablet of Ruin,Volatile Marksman,I,"roam
DPS","25% mag + 1 rounded down landed (bow needs 2) or 3 kills within 3s of each with void weapon
volatile detonation
","Volatile Rounds for 10s
10% class energy",worse than Volatile Flow outside of damage,B
,Tablet of Ruin,Unraveling Orbs,I,"roam
DPS",orb pickup or Tangle throw,Unraveling Rounds for 14s,synergizes with unravel requirements on other mods,B
,Tablet of Ruin,Photonic Flare,I,roam,exhausted or severed arc kill,"5?m blinding burst, 6?s ICD",not the worst effect but ICD is very noticeable,C
