WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Bold Endings,29,Stasis,Heavy Burst,Pale Heart,,49,Yes,Fluted Barrel,Alloy Magazine,"Headstone
Rimestealer",Crystalline Corpsebloom,Dealer's Choice,"decent origin, fine archetype, crystal spam perk combo",25,B
,Agape,27,Solar,Heavy Burst,Kepler,,55,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Heal Clip,"Incandescent
Firefly
Burning Ambition",Exhaustive Research,"decent archetype, not a great user of Heal Clip, splash options are decent",26,B
,Ancient Gospel,29,Void,Adaptive,Garden of Salvation,,57,Yes,Fluted Barrel,Alloy Magazine,"Destabilizing Rounds
Repulsor Brace","Explosive Payload
Demoralize",Photoinhibition,"not bad besides lacking proper void combo, solid archetype and decent origin",27,B
,Sarpedon-D,28,Arc,Spread Shot,"Tenet of Bravery, Zavala",,52,Yes,Barrel Shroud,Alloy Magazine,"Impromptu Ammunition
Lead from Light","Trench Barrel
One-Two Punch
Desperate Measures",Accelerated Assault,"not many appealing perks, frame is good but essentially just a single target hard hitter",28,B
,Phoneutria Fera,27,Solar,Spread Shot,Tenet of Bravery,,56,Yes,Fluted Barrel,Alloy Magazine,"Slideshot
Threat Remover","Incandescent
Surrounded
One-Two Punch",Tenacity,similar situation to Sarpedon-D with a worse 1st column,29,B
,Sightline Survey,29,Arc,Precision,Encore,,52,Yes,Fluted Barrel,Alloy Magazine,"Enlightened Action
Air Trigger",Voltshot,Radiolaria Transposer,"solid archetype + origin, but disappointing first column and Voltshot isn't great on HCs",30,B
,Spare Rations,29,Stasis,Lightweight,Gambit,,57,Yes,Fluted Barrel,Alloy Magazine,"Firefly
Crystalline Corpsebloom",Explosive Payload,Gun and Run,"second column not the greatest, lacks barrier intrinsic despite 140 RPM, origin not great",31,B
,D.F.A.,29,Kinetic,Adaptive,Pinnacle Ops,,58,Yes,Fluted Barrel,Alloy Magazine,Explosive Payload,Attrition Orbs,Accelerated Assault,"niche orb generation option (faster than Multimach, 4 shots), not good for much else",32,B
,Loud Lullaby,29,Stasis,Aggressive,Moon,,48,Yes,Fluted Barrel,Alloy Magazine,"Headstone
Rimestealer
Shoot to Loot","Crystalline Corpsebloom
Explosive Payload",Loss,stasis crystal double splash but aggressive frame + awful origin,33,B
,Rose,29,Kinetic,Lightweight,Competitive,,58,Yes,Fluted Barrel,Alloy Magazine,Firefly,Explosive Payload,None,"slightly outdated kinetic splash combo, no origin, decent frame",34,B
,Igneous Hammer,29,Solar,Aggressive,Trials,,55,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Firefly
Heal Clip",Incandescent,Fleet Footed,"worst frame and awful origins, just has standard solar double splash",35,B
,Mos Athanor IV,28,Void,Aggressive,"Tenet of Bravery, Shaxx",,52,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Destabilizing Rounds,Demoralize,Accelerated Assault,"no Repulsor double void splash on the worst frame, decent origins",36,B
,Optative,29,Void,Precision,Starcrossed,,54,Yes,Fluted Barrel,Alloy Magazine,Repulsor Brace,Golden Tricorn,Nano-Munitions,"rated higher because of volatile access in artifact, otherwise pretty bad, great origin",37,C
,IKELOS_HC_V1.0.3,29,Void,Precision,Seraph's Shield,,53,Yes,Fluted Barrel,Seraph Rounds,Rapid Hit,Repulsor Brace,Rasputin's Arsenal,"similar situation to Optative, worse origin and Repulsor pairing but Seraph Rounds access",38,C
,Yesterday's Question,29,Arc,Heavy Burst,Trials,,55,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Dragonfly,Voltshot,Fleet Footed,"kill-reload perks not very good on a heavy burst, weak double splash",39,C
,Malediction,29,Kinetic,Aggressive,Solo Ops,,60,Yes,Fluted Barrel,Alloy Magazine,"Shoot to Loot
Enlightened Action","Explosive Payload
Redirection",Wild Card,"bad frame for StL + EP, other perk combos are quite underwhelming",40,C
,Round Robin,29,Strand,Aggressive,Neomuna,,52,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Tear,Hatchling,Nanotech Tracer Missiles,"Tear over Slice on Better Devils, better origin despite worse archetype",41,C
,"Judgment
RotN version",26,Stasis,Adaptive,Rite of the Nine,,50,Yes,Fastdraw HCS,Alloy Magazine,Headstone,"Rimestealer
Timed Payload",Gravity Well,"outdated stasis combo, unique origin trait, little diversity otherwise",42,C
,Judgment,29,Stasis,Adaptive,Prophecy,,50,Yes,Fluted Barrel,Alloy Magazine,"Headstone
Crystalline Corpsebloom","Rimestealer
Timed Payload",Crossing Over,"exchanges better origin trait for Crystalline access, not really worth it",43,C
,Finite Impactor,27,Solar,Adaptive,Iron Banner,,49,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Heal Clip,Burning Ambition,Skulking Wolf,"solid overall package, just too niche due to missing Incandescent",44,C
,Better Devils,29,Strand,Adaptive,Crucible,,50,Yes,Fluted Barrel,Alloy Magazine,Slice,"Hatchling
Explosive Payload",Accelerated Assault,"very mediocre splash options, good frame and origin though",45,C
,Sixth Sense,29,Strand,Aggressive,Tenet of Bravery,,54,Yes,Fluted Barrel,Alloy Magazine,Explosive Payload,"Meganeura
Tear
Hatchling",Wild Card,"not bad double splash, decent origin, bad archetype",46,C
,Crimil's Dagger,29,Kinetic,Aggressive,Iron Banner,,56,Yes,Fluted Barrel,Alloy Magazine,Firefly,Explosive Payload,Skulking Wolf,okay splash combo with good origin and worst frame,47,C
,Exuviae,25,Stasis,Aggressive,"Xur, Kell's Fall?",,54,Yes,Fluted Barrel,Alloy Magazine,Rimestealer,Headstone,Dark Ether Reaper,older stasis combo with great origin and poor achetype,48,C
,The Palindrome,29,Arc,Adaptive,Pinnacle Ops,,50,Yes,Fluted Barrel,Alloy Magazine,Explosive Payload,Voltshot,Accelerated Assault,"Voltshot not great on HCs, good archetype and origin but disappointing overall perk combos",49,C
,Something New,29,Stasis,Aggressive,Tenet of Bravery,,51,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Rimestealer
Demolitionist",Headstone,Dream Work,mediocre splash with middling origin and worst frame,50,C
,True Prophecy,29,Arc,Aggressive,Nessus,,52,Yes,Fluted Barrel,Alloy Magazine,"Light Touch
Trickle Charge",Jolting Feedback,Fail-deadly,"mediocre 1st column and bad frame, origin is decent and JF is decent on HCs",51,C
,Targeted Redaction,29,Void,Aggressive,Xur,,49,Yes,Fluted Barrel,Alloy Magazine,Outlaw,Destabilizing Rounds,Unsated Hunger,probably worst Destabilizing hand cannon in the game,52,C
,Waking Vigil,29,Arc,Lightweight,Dreaming City,,46,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Light Touch
Rapid Hit","Meganeura
Voltshot",Advanced Reflexes,"okay splash perks, disappointing first column, and decent origin",53,C
,Survivor's Epitaph,29,Kinetic,Precision,Crucible,,47,Yes,Fluted Barrel,Alloy Magazine,Rapid Hit,Explosive Payload,Accelerated Assault,"probably the best pure EP hand cannon, but awful otherwise",54,D
,Warden's Law,29,Kinetic,Heavy Burst,Zavala,,52,Yes,Fluted Barrel,Alloy Magazine,"Enlightened Action
Demolitionist",Rampage,Problem Solver,"essentially a single target weapon, terrible 1st column, okay frame, mediocre origins",55,D
,Cantata-57,16,Arc,Adaptive,Banshee,,45,No,Fluted Barrel,Alloy Magazine,Rapid Hit,Timed Payload,Suros Synergy,"good frame, standard reload + EP equivalent, bad origin",56,D
,Solemn Lie,29,Arc,Lightweight,Competitive,,60,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Trickle Charge,Rolling Storm,None,"awful perks in both columns, no origin traits, okay frame",57,D
,Annual Skate,15,Solar,Adaptive,Xur,,52,No,Fastdraw HCS,Alloy Magazine,Outlaw,"Timed Payload
Dragonfly",None,better frame than some other D options but not much else going for it,58,D
,Combined Action,21,Arc,Aggressive,Banshee,,53,Yes,Fluted Barrel,Alloy Magazine,Eddy Current,"Voltshot
Timed Payload",Field-Tested,"might be the worst frame to have Voltshot, awful 1st column, okay origin",59,D
,Bottom Dollar,29,Void,Aggressive,Gambit,,59,Yes,Fluted Barrel,Alloy Magazine,Rapid Hit,Explosive Payload,Gun and Run,"terrible reload + EP example, mediocre origin and bad frame",60,D
,Kept Confidence,29,Strand,Adaptive,Xur,,55,Yes,Fluted Barrel,Alloy Magazine,Loose Change,Collective Action,Head Rush,"good frame, solid origin, just terrible everywhere else",61,E
,Crisis Inverted,16,Arc,Adaptive,Crucible,,52,No,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Rapid Hit
Demolitionist
Shoot to Loot","Focused Fury
Kill Clip
One for All",Omolon Fluid Dynamics,"has on-hit single target perk, otherwise pretty bad due to lack of splash",62,E
,Pure Poetry,18,Kinetic,Aggressive,Zavala,,50,No,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Outlaw
Shoot to Loot","Focused Fury
Rampage",Häkke Breach Armaments,"post-buff Focused Fury not bad, okay reload perks, bad frame",63,E
,Austringer,29,Kinetic,Adaptive,Presage,,53,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Outlaw,Rampage,To Excess,"post-buff Rampage better than Kill Clip on Frontier's, still terrible though",64,E
,Frontier's Cry,29,Solar,Precision,Iron Banner,,48,Yes,Fluted Barrel,Alloy Magazine,Rapid Hit,Kill Clip,Skulking Wolf,"no splash or stagger perks, has okay frame and good origin",65,E
,Dire Promise,10,Kinetic,Adaptive,"Xur, Dares",,60,No,Fastdraw HCS,"High-Caliber Rounds
Alloy Magazine","Auto-Loading Holster
Overflow",Swashbuckler,None,good frame but terrible otherwise,66,E
,Nature of the Beast,11,Arc,Precision,Xur,,57,No,Fastdraw HCS,Alloy Magazine,Subsistence,Dragonfly,None,"okay frame, terrible perks in both columns otherwise",67,E
,The Steady Hand,12,Kinetic,Aggressive,Iron Banner,,40,No,Fastdraw HCS,"High-Caliber Rounds
Alloy Magazine",Outlaw,"Swashbuckler
Wellspring",None,"worst frame, terrible other perks",68,E
