WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Lethophobia,29,Void,Lightweight,Starcrossed,,63,Yes,Elastic String,Compact Arrow Shaft,"Repulsor Brace
Impulse Amplifier",Explosive Head,Dragon's Vengeance,can technically benefit from Repulsor through artifact but otherwise very mediocre,16,B
,Tripwire Canary,29,Arc,Lightweight,Seraph's Shield,,63,Yes,Elastic String,Compact Arrow Shaft,Dragonfly,Explosive Head,Ambush,very weak version of double splash,17,C
,Arsenic Bite-4B,4,Arc,Lightweight,"Xur, Dares",,70,No,Elastic String,Compact Arrow Shaft,Dragonfly,Explosive Head,None,like Tripwire Canary but no origin,18,C
,Raconteur,29,Stasis,Precision,NODE.OVRD.AVALON,,54,Yes,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot","Headstone
Explosive Head",Noble Deeds,bit more perk diversity than bows from the same era,19,C
,Strident Whistle,17,Solar,Precision,Zavala,,59,No,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot",Incandescent,Vanguard's Vindication,outdated Archer's + Incandescent core,20,C
,Under Your Skin,29,Void,Precision,Vox Obscura,,51,Yes,Elastic String,Compact Arrow Shaft,Archer's Tempo,"Explosive Head
Dragonfly",Land Tank,excellent origin but very outdated perk spread,21,C
,Fel Taradiddle,29,Kinetic,Lightweight,Wellspring,,59,Yes,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot",Explosive Head,Psychohack,"similar to Under Your Skin in origin quality, has StL instead of Dragonfly",22,C
,Wolftone Draw,15,Arc,Precision,"Xur, Dares",,55,No,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot",Dragonfly,None,very weak splash option,23,C
,Lunulata-4B,17,Stasis,Lightweight,Banshee,,64,No,Elastic String,Compact Arrow Shaft,Shoot to Loot,Headstone,Veist Stinger,no Archer's + weaker splash perk,24,D
,Neoptolemus II,25,Kinetic,Precision,Banshee,,54,Yes,Elastic String,Compact Arrow Shaft,Air Trigger,Wellspring,Wild Card,origin trait is the only redeeming quality,25,D
,Whispering Slab,26,Kinetic,Lightweight,Xur,,59,Yes,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Demolitionist",High Ground,Paracausal Fluid,single target perks on a bow,26,D
,Imperial Needle,13,Void,Lightweight,"Xur, Dares",,60,No,Elastic String,Compact Arrow Shaft,Archer's Tempo,Frenzy,None,Archer's + weak damage perk,27,D
,Whistler's Whim,20,Kinetic,Lightweight,Trials,,64,No,Elastic String,Compact Arrow Shaft,"Rapid Hit
Cornered","Archer's Tempo
Kill Clip
Successful Warm-Up",Veist Stinger,single target perks on a bow,28,D
