WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Thermal Erosion,29,Solar,Rapid,Europa,,32,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Demolitionist
Incandescent","Meganeura
Mega Kill Clip
Burning Ambition",Winterized Gear,"alternative to Temporal with worse origin, but Incandescent + Meganeura",11,S
,Marcato-45,23,Strand,Adaptive,Banshee,,60,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
Extended Mag","Demolitionist
Slice","Hatchling
Golden Tricorn
Onslaught",Suros Synergy,"downgrade from Demo options in S due to origin and worse perk diversity, nice ammo gen though",12,A
,Chain of Command,29,Stasis,Adaptive,Solo Ops,,54,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Headstone
Overflow","Demolitionist
Meganeura
Killing Tally",Wild Card,"solid all around, has Headstone + Meganeura for pure splash if wanted",13,A
,Ulterior Observation,27,Stasis,Aggressive,Kepler,,42,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Demolitionist
Headstone","Dragonfly
Killing Tally
Rimestealer",Exhaustive Research,"stasis combo takes too many slots to work, still pretty decent frame + origin + perk combo",14,A
,Qullim's Terminus,29,Stasis,High-Impact,King's Fall,,46,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
Extended Mag","Demolitionist
Unrelenting","Headstone
Crystalline Corpsebloom
Mega Kill Clip",Runneth Over,"several perks incentivize reload assist, but manual reload is improved by Runneth Over",15,A
,"Terminus Horizon
RotN version",26,Arc,High-Impact,Rite of the Nine,,48,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Demolitionist
Dragonfly","Killing Tally
Jolting Feedback
Precision Instrument",Gravity Well,"probably the most plain LMG with Demo access, still decent though",16,A
,Dawn Far Off,29,Solar,Aggressive,Tenet of Bravery,,35,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds","Burning Ambition
Subsistence
Impromptu Ammunition","Meganeura
Incandescent
Redirection",Dream Work,solar double splash with some reload options,17,A
,Terminus Horizon,29,Arc,High-Impact,Spire of the Watcher,,48,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds","Meganeura
Supercharged Magazine
Trickle Charge","Gear Shift
Mega Kill Clip
Jolting Feedback",Tex Balanced Stock,"pretty lethal with Meganeura + Gear Shift, otherwise Supercharged/Trickle for reload",18,A
,Seventh Seraph SAW,29,Arc,High-Impact,Cosmodrome,,40,Yes,"Arrowhead Brake
Fluted Barrel",Seraph Rounds,"Supercharged Magazine
Trickle Charge
Collective Demolition","Meganeura
Jolting Feedback
Mega Kill Clip",Eyes Up,like Terminus but no Meganeura in first column,19,A
,Unwavering Duty,27,Solar,Adaptive,Trials,,58,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Incandescent
Auto-Loading Holster
Rampage","Burning Ambition
Killing Tally",Roar of Battle,less lethal combos than Dawn Far Off and worse origin and frame,20,A
,Archon's Thunder,29,Stasis,High-Impact,Iron Banner,,41,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
Extended Mag","Rimestealer
Envious Assassin
Air Trigger","Headstone
Desperate Measures
Killing Tally",Skulking Wolf,"decent frame, solid origin, and typical stasis combo with okay alternative perks",21,B
,Avalanche,25,Solar,Adaptive,Dawning,,40,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Dragonfly
Auto-Loading Holster
Rewind Rounds","Incandescent
Golden Tricorn",Dawning Surprise,"weaker double splash with ALH access, no excellent roam damage perks",22,B
,Recurrent Impact,29,Stasis,Rapid,Vox Obscura,,43,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,"Subsistence
Field Prep","Headstone
One for All",Land Tank,very mediocre perks but Land Tank is an excellent origin trait,23,B
,Bitter End,28,Arc,Balanced,Equilibrium,,12,Yes,"Arrowhead Brake
Fluted Barrel","Enhanced Heatsink
Ionized Heatsink","Trickle Charge
Gutshot Straight
Cooling Baubles","Jolting Feedback
Killing Tally
Rolling Storm",Imperial Allegiance,"awful ammo gen stat, disappointing first column given heat capability, mediocre origin",24,B
,Speleologist,29,Solar,Rapid,Encore,,29,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,"Envious Assassin
Heal Clip
Deconstruct","Incandescent
Killing Tally
One for All",Radiolaria Transposer,"excellent origin trait, just very lacking in first column support",25,B
,A Fine Memorial,29,Arc,Adaptive,Moon,,46,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Auto-Loading Holster
Wellspring
Impromptu Ammunition
","Meganeura
Gear Shift
Jolting Feedback",Loss,"awful origin, decent second column, everything else just okay",26,B
,21% Delirium,29,Arc,Rapid,Gambit,,45,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Overflow
Trickle Charge
Reconstruction","Gear Shift
Jolting Feedback
Killing Tally",Gun and Run,"very solid reload assists, just not the best archetype",27,B
,Watchful Eye,29,Arc,Aggressive,Xur,,36,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Overflow
Field Prep
Wellspring","Jolting Feedback
Killing Tally
Elemental Honing",Runneth Over,basically Delirium with worse reload assists and better archetype,28,B
,Qua Xaphan V,22,Void,High-Impact,Gambit,,42,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds","Field Prep
Clown Cartridge","Rampage
Cascade Point
Dragonfly",Wild Card,"decent archetype and origin, just lacks reload support, only up here because void",29,C
,Shattered Cipher,14,Void,Rapid,"Xur, Dares",,37,No,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,"Auto-Loading Holster
Field Prep","Rampage
Surrounded",None,"worse archetype and no origin vs. Qua Xaphan, otherwise has ALH",30,C
,Retrofit Escapade,29,Void,Rapid,Seraph's Shield,,29,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,Field Prep,"Rampage
Golden Tricorn
One for All",Ambush,trades ALH for an origin trait and more neutral perks vs. Retrofit,31,C
,Fixed Odds,29,Solar,High-Impact,Duality,,37,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,Field Prep,"Incandescent
Killing Tally",To Excess,"no reload assist in 1st column, origin trait is useless, otherwise okay",32,C
,Qua Furor V,26,Stasis,Aggressive,Banshee,,39,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds","Rimestealer
Recycled Energy","Rampage
Golden Tricorn
Dragonfly",Wild Card,"awful first column, Rimestealer with no crystal source",33,D
,Planck's Stride,29,Arc,Rapid,Xur,,36,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,Grave Robber,"Swashbuckler
One for All",Right Hook,melee specialist single target machine gun in 2026,34,D
,Eleatic Principle,29,Arc,Rapid,Xur,,43,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds",Eddy Current,"Golden Tricorn
Harmony",Head Rush,buffed Head Rush cannot save you,35,D
,THE SWARM,20,Arc,High-Impact,Zavala,,49,No,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,Feeding Frenzy,"Golden Tricorn
Dragonfly",Vanguard's Vindication,bare minimum of what can be on a machine gun,36,D
