WEAPON,,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Aisha's Care,29,Strand,Heavy Burst,Trials,,51,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Slice,Hatchling,Omolon Fluid Dynamics,"double stagger available, otherwise not very remarkable strand combo and origin",39,B
,BxR-55 Battler,29,Solar,Legacy PR-55,Dares,,60,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Demolitionist,Incandescent,Hot Swap,"good frame and decent splash perk, nothing else really going for it",40,C
,Stay Frosty,29,Stasis,Lightweight,Tenet of Bravery,,51,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Rimestealer,Headstone,Dawning Surprise,"outdated stasis combo with okay origin, solid frame",41,C
,Cruel Mercy,29,Arc,Heavy Burst,Zavala,,56,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Dragonfly,Rolling Storm,Vanguard Determination,"no strong splash perk, double stagger, good frame, mediocre origin",42,C
,Psi Hermetic V,22,Stasis,High-Impact,Banshee,,52,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Enlightened Action,Headstone,Wild Card,"middling origin, bad frame, and basically just Headstone",43,C
,Disparity,29,Stasis,Aggressive Burst,Seraph's Shield,,53,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Rapid Hit
Pugilist",Headstone,Ambush,"mediocre origin and frame, awful 1st column, basically just Headstone",44,C
,Syncopation-53,29,Stasis,Adaptive,Banshee,,45,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Compulsive Reloader
Outlaw",Headstone,Suros Synergy,"worse first column than Disparity, better frame",45,C
,Last Thursday,27,Strand,Adaptive,Kepler,,57,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Rapid Hit,"Hatchling
Slice",Exhaustive Research,"okay frame and origin, but disappointing perk combo",46,C
,Different Times,29,Strand,Rapid,Xur,,50,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Outlaw,Hatchling,Unsated Hunger,"one of the weaker examples of reload + splash, mediocre origin and decent frame",47,C
,Yesteryear,29,Void,Adaptive,Gambit,,52,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Outlaw,"Repulsor Brace
Dragonfly
Rampage",Gun and Run,"technically usable thanks to volatile access from artifact, otherwise terrible",48,C
,Piece of Mind,29,Kinetic,Rapid,Vox Obscura,,53,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Compulsive Reloader
Overflow","Focused Fury
Adrenaline Junkie
",Land Tank,Land Tank is a standout but everything else here is terrible besides frame,49,D
,Ogma PR6,29,Solar,Lightweight,Banshee,,45,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Demolitionist
Unrelenting","Dragonfly
Adrenaline Junkie",Omolon Fluid Dynamics,"outdated splash and terrible perks otherwise, frame decent and bad origin",50,D
,Outlast,21,Solar,Rapid,Xur,,47,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Outlaw,Dragonfly,Disaster Plan,decent frame and basically nothing else going on besides standard reload + splash,51,D
,Autumn Wind,29,Kinetic,Rapid,Crucible,,58,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Demolitionist,Rampage,Accelerated Assault,"great frame and origin, everything else is terrible",52,D
,Forge's Pledge,15,Solar,Adaptive,Iron Banner,,54,No,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Surplus
Auto-Loading Holster","Rampage
Unrelenting",Skulking Wolf,"good origin, everything else is mediocre to bad",53,D
,The Third Axiom,29,Arc,Adaptive,Zavala,,47,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Surplus
Feeding Frenzy","Dragonfly
Rampage
One for All",Vanguard Determination,"extremely outdated perk pool, at least it has an origin trait",54,D
,Scalar Potential,29,Arc,Rapid,Starcrossed,,47,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Enlightened Action,"High Ground
Focused Fury
Golden Tricorn",Dragon's Vengeance,"basically just reload + single target, some more modern options in 2nd column but still D tier",55,D
,Cold Denial,29,Kinetic,High-Impact,Xur,,46,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Enlightened Action,"Swashbuckler
Desperado",Paracausal Fluid,"double stagger, everything else is bad",56,D
,Jian 7 Rifle,10,Arc,Adaptive,"Xur, Dares",,55,No,SLO-12 Post,"High-Caliber Rounds
Alloy Magazine",Grave Robber,"Dragonfly
Rampage",None,"mediocre frame, no origin, awful 1st column, mediocre 2nd column",57,D
,Last Perdition,29,Void,Adaptive,Crucible,,54,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Outlaw,Rampage,Roar of Battle,"classic reload + single target, post-buff Rampage is okay, origin and frame are okay",58,D
,Legal Action II,15,Kinetic,High-Impact,"Xur, Dares",,47,No,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Surplus
Feeding Frenzy",Rampage,None,"bad frame, bad perks, not enhanceable, no origin trait",59,D
