"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","Cusp Sempiternal","Auto Rifle","Energy","Void","Support Frame (Healing)","Hammer-forged
Smallbore
Corkscrew","Accurized
Tactical Mag","Range
Stability","Reciprocity
Impulse Amplifier","Elemental Honing
Withering Gaze
Circle of Life","Frame of Reference","Support Frame (Healing) Auto
Provides Overshield.
TtK shift at Ele Honing x2 = 0.80->0.70
Withering Gaze for team play.
Strong origin trait.
Provides extra damage, range, and reload speed. Buff pauses on stow, and timer only progresses while weapon is readied, allowing the buff to be ""backpacked"". 
Dmg buff: x1 = 1.45% / x2 = 2.8%  / x3 = 4.2% / x4 = 5.6% / x5 7%","","A","Desert Perpetual EPIC Raid","No"
"","Decatur 02","Auto Rifle","Kinetic","Stasis","Support Frame (Healing)","Hammer-forged
Smallbore
Corkscrew","Accurized
Tactical Mag","Range
Stability","Physic
Attrition Orbs","Reciprocity
Circle of Life
","Carrion Munitions","Support Frame (Healing) Auto
Provides Frost Armor via Physic. Up to x5 stacks (x7 w/ Whisper of Rime)
Physic/Attrition + Reciprocity for team play.","","S","Distortions Events","No"
"","Duty Bound","Auto Rifle","Kinetic","Kinetic","Adaptive","Hammer-forged
Smallbore
Arrowhead","Accurized Rounds","Range
Stability","Zen Moment
Lone Wolf
Stopping Power","Rampage
Onslaught
All-Star","Vanguard Determination","Mid frame, mid Column 2 perks.
Kill Chaining","","C","Vanguard Ops / Tenet of Bravery","No"
"","Everburning Glitz","Auto Rifle","Kinetic","Kinetic","Rapid-Fire","Hammer-Forged
Fullbore
Smallbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range","Dynamic Sway Reduction
Lone Wolf
Transcendant Moment","Kinetic Tremors
Elemental Honing
Tap the Trigger","Fleet Footed","Kinetic Tremors guarantees ease of use for 0.75 TtK.
Ele Honing TtK Shift @ x2 = 0.75->0.67
@ x3 = 0.58","","S","Trials of Osiris / Saint-14 Vendor","No"
"","Giver's Blessing","Auto Rifle","Kinetic","Kinetic","Rapid-Fire","Hammer-Forged
Smallbore
Fullbore
","Accurized Rounds","Range
Stability","Moving Target
Transcendant Moment
Impromptu Ammunition","Kinetic Tremors
Multikill Clip
Zen Moment","Exhaustive Research","Kinetic Tremors guarantees ease of use for 0.75 TtK.
Lackluster origin.
Basically just a weaker, easier to obtain Everburning Glitz.","","B","Kepler Destination","No"
"","Gnawing Hunger","Auto Rifle","Energy","Void","Adaptive","Hammer-Forged
Smallbore
Fullbore","Accurized Rounds","Range
Stability","Withering Gaze
Tap the Trigger","Master of Arms
Multi-Kill Clip
Rampage","Gun and Run","Best-in-Class for Adaptive frame 600 RPM autos.
Withering Gaze allows neutral TtK shift.
Wither Gaze, MoA x1, Rampage x1, Multikill Clip x1, or Swash x1: => 0.70
MoA x2, Multikill Clip x2, Rampage x3, or Swash x3: => 0.60
Multikill Clip x3: => 0.50
Pairing Withering w/ MoA can make for easy kill chain starts.","","S","Gambit / Drifter Vendor","No"
"","Herod-C ","Auto Rifle","Kinetic","Stasis","High-Impact","Smallbore
Hammerforged
Arrowhead","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Stability
Range","Dynamic Sway Reduction
Perpetual Motion","Vorpal Weapon
Multikill Clip
Tap the Trigger","Häkke Breach Armaments","19 zoom, higher than S tier options of the same archetype.
Modern Vorpal Weapon option in Kinetic slot. 
TTK shift via Multikill Clip x1: 0.75->0.60
Multikill Clip x3: => 0.45","","A","Gambit / Drifter Vendor","No"
"","Horror Story","Auto Rifle","Kinetic","Stasis","Precision","Smallbore
Hammer-forged
Arrowhead","Accurized Rounds","Range
Stability","Under-Over
Elemental Capacitor
Dynamic Sway Reduction","Vorpal Weapon
Cascade Point
Headstone","Nadir Focus
Search Party","Anti-Super, Under Over + Vorpal Weapon.","","C","Tenet of Bravery","No"
"","Lethal Abundance","Auto Rifle","Kinetic","Strand","High-Impact","Arrowhead
Chambered
Hammerforged","Accurized Rounds
Steady Rounds","Stability
Range","Slice
Zen Moment
Keep Away","Desperate Measures
Onslaught
Rampage","Skulking Wolf","One of two Strand Skulking Wolf autos.
Desperate Measures & Rampage do not shift TtK at x1
@ x2 Rmpg / DM ttk shift 0.75->0.60","","B","Iron Banner / Saladin Vendor","No"
"","Lodbrok-C","Auto Rifle","Kinetic","Kinetic","High-Impact","Chambered
Smallbore
Hammerforged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Dynamic Sway Reduction
Fragile Focus
Perpetual Motion","Kill Clip
Cascade Point
Tap the Trigger","Häkke Breach Armaments","Good frame, good perks.
Non-tiered. Not enhanceable.
Only currently obtainable 400 RPM auto w/ Kill Clip in Kinetic Slot.
TTK shift via Kill Clip: 0.75 -> 0.60
Cascade Point: => 0.45
Solid workhorse option.","","S","Gunsmith Legacy Focusing","No"
"","No Hesitation","Auto Rifle","Energy","Solar","Support Frame (Healing)","Hammer-forged
Smallbore
Corkscrew","Accurized
Tactical Mag","Range
Stability","Physic","Disruption Break
Attrition Orbs
Elemental Honing","Dealer's Choice","Support Frame (Healing) Auto
Best-in-Class.
Provides Restoration via Physic to user & teammate.
Disruption Break & Attrition Orbs for team play.
TtK shift at Ele Honing x2 = 0.80->0.70
Bonus super gains via Origin paired w/ other Pale Heart weapons.","","S","Pale Heart Destination","Yes"
"","Origin Story
","Auto Rifle","Kinetic","Kinetic","Precision","Smallbore
Hammer-forged
Arrowhead","Ricochet Rounds
High-Caliber Rounds
Armor Piercing","Range
Stability","Keep Away
Zen Moment
Dynamic Sway Reduction","Swashbuckler
Onslaught
Eye of the Storm","Nadir Focus
Vanguard Determination","Mid frame, lacking strong perks in Column 2.","","D","Vanguard Ops / Zavala Vendor","No"
"","Pluperfect","Auto Rifle","Kinetic","Kinetic","High-Impact","Chambered
Smallbore
Hammerforged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Stability
Range","Rangefinder
Dynamic Sway Reduction
Stopping Power","Rampage
All Star
Adhesive Ordnance","Fail-deadly","Good frame, but lacking strong Column 2 perks.
TTK shift via Rampage x2, Adren Junkie x3, Aggregate Charge x2, or Adhesive Ordnance: 0.75 -> 0.60
Consistency perks in Column 1 paired w/ Origin make for a very consistent shooting weapon.","","C","Nessus Destination","No"
"","Positive Outlook","Auto Rifle","Energy","Void","Precision","Arrowhead
Hammer-forged
Smallbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Withering Gaze
Zen Moment
Dynamic Sway Reduction","Mega Kill Clip
Golden Tricorn
Tap the Trigger","Omolon Fluid Dynamics
Accelerated Assault
Vanguard Determination","Best-in-Class Precision Auto Rifle
Only Mega Kill Clip AR, and one of only 2 primary weapons with it.
Mega Kill Clip provides an INSANE 40% damage buff for a duration based on the number of kills prior to reload. This buff can be refreshed and extended UP TO 20 seconds by spam fire/reloading rapidly after a SINGLE kill.
Weaken/Slow via Withering Gaze.
Omolon Fluid Dynamics origin & Withering Gaze pairs exceptionally well w/ Mega Kill Clip, allowing easier first kill & further amplifying damage, and increased stability & reload speed in top half of the magazine.
Kill chaining.
","","S","Vanguard / Zavala Vendor","No"
"","Prosecutor (Monument of Triumph Variant)","Auto Rifle","Energy","Arc","Precision","Arrowhead
Hammer-forged
Smallbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Keep Away
Light Touch
Dragonfly","Gear Shift
Sword Logic
Onslaught","Crossing Over","Best-in-Class Precision Auto Rifle
Gear Shift for neutral TtK shift from 0.80->0.67 @ x1.
Origin provides bonus Range & Handling above 50% mag, and 2%->4% bonus damage below 50% mag, scaling linearly.
Kill Chaining.","","S","Prophecy Dungeon","No"
"","Reckless Oracle","Auto Rifle","Energy","Void","Rapid-Fire","Hammerforged
Fullbore
Smallbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Destabilizing Rounds
Keep Away
Tap The Trigger","Kill Clip
Paracausal Affinity
Swashbuckler","Photoinhibition","Anti-over shield
Double damage perks via Kill-activated-TtK shift perks","","A","Garden of Salvation Raid / Pantheon Raid Encounters","Yes"
"","Reghusk's Pledge","Auto Rifle","Energy","Void","Rapid-Fire","Hammer-forged
Smallbore
Fullbore","Accurized Rounds","Range
Stability","Dynamic Sway Reduction
Destablizing Rounds","Kill Clip
Golden Tricorn
Repulsor Brace","Skulking Wolf","Skulking Wolf
Double damage perks via Kill-activated-TtK shift perks","","A","Iron Banner / Saladin Vendor","No"
"","Rufus's Fury","Auto Rifle","Kinetic","Strand","Rapid-Fire","Hammer-forged
Smallbore
Arrowhead","Ricochet Rounds","Range
Stability","Slice
Keep Away
Moving Target","Aggregate Charge
Paracausal Affinity
Chaos Reshaped","Harmonic Resonance","Slice
Neutral TtK shift via Aggregate w/ Slice
Origin provides Handling & Reload speed when paired w/ other Harmonic Resonance weapons.","","S","Root of Nightmares Raid","Yes"
"","Seventh Seraph Carbine ","Auto Rifle","Kinetic","Kinetic","Precision","Arrowhead
Smallbore
Hammer-forged","Accurized Rounds
Seraph Rounds","Range
Stability","Dynamic Sway Reduction
Stopping Power","Target Lock
Onslaught
All-Star","Eyes Up","Possible combo of Stopping Power+Target Lock for TtK shift from neutral.
Needs more testing.","","C","Cosmodrome Destination","No"
"","Snipehunt Mk.47","Auto Rifle","Energy","Arc","Lightweight","Hammer-forged
Smallbore
Arrowhead","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Jolting Feedback
Killing Wind
Offhand Strike","Gearshift
Chaos Reshaped
Hipfire Grip","Featherweight
Tex Balanced Stock","Lightweight/Movement
Gearshift ttk shifts from neutral. 
x1 = 0.75->0.67, x3 => 0.58 
Jolting Feedback can provide body shot consistency, especially paired w/ Gearshift & amplified sources.
Hipfire paired w/ RDM exotics","","S","Sparrow Racing","No"
"","Steelfeather Repeater","Auto Rifle","Kinetic","Kinetic","Rapid-Fire","Hammer-forged
Smallbore
Arrowhead","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slideways","Vorpal Weapon
All Star
Multi Kill Clip","Cast No Shadows","Modern Vorpal Weapon in Kinetic Slot. 
Lacks meaningful perks for general use and has a low base stat package.","","B","World Drops / Gunsmith Vendor / Hawthorne Engrams","No"
"","The Forward Path","Auto Rifle","Kinetic","Strand","Adaptive","Arrowhead
Smallbore
Hammer-forged","Accurized Rounds","Range
Stability","Slice
Zen Moment
Dynamic Sway Reduction","Multi Kill Clip
Tap the Trigger
Swashbuckler","Skulking Wolf","Slice
Kill Chaining
Melee build","","A","Iron Banner / Saladin Vendor","No"
"","The Ringing Nail","Auto Rifle","Energy","Solar","Precision","Smallbore
Hammer-forged
Fullbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Zen Moment
Keep Away
Incandescent","Sword Logic
Disruption Break
Firefly","Forge's Kin","Teamshot gunplay.
Sword Logic for Kill Chains.","","A","Arena Ops / Zavala Vendor","No"
"","The Riposte","Auto Rifle","Energy","Void","Lightweight","Arrowhead
Hammer-forged
Smallbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Tap the Trigger
Zen Moment","Kill Clip
Desperate Measures
Dynamic Sway Reduction","None (Has access to Stocks instead)","Lightweight/Movement
Kill Clip, Binary Orbit & DM x2 ttk shift: 0.75-> 0.58
DM x1 => 0.67 
More general use option compared to Snipehunt.","","A","Comp / Shaxx Vendor","No"
"","The Summoner (Monument of Triumph Variant)","Auto Rifle","Energy","Solar","Adaptive","Hammer-forged
Smallbore
Fullbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Zen Moment
Lone Wolf
Dynamic Sway Reduction","Kill Clip
Desperate Measures
Target Lock","Wild Card
Fleet Footed
Roar of Battle","Kill Chaining.
Target Lock neutral TtK shift w/ 152 weapons","","A","Trials of Osiris / Saint-14 Vendor","No"
"","Tigerspite","Auto Rifle","Kinetic","Kinetic","Precision","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing","Range
Stability","Moving Target
Stopping Power","Kill Clip
All Star
Onslaught","Advanced Reflexes","Mid frame, decent perks. Good origin.
Unfortunately lacks strong neutral ttk shift perks to compensate for the precision frame.","","S","Dreaming City Destination","No"
"","Trendsetter","Auto Rifle","Energy","Arc","Adaptive","Hammer-forged
Smallbore
Fullbore","Accurized Rounds","Range
Stability","Dynamic Sway Reduction
Light Touch","Gear Shift
Zen Moment
Tap the Trigger","Nail, Meet Hammer","Abysmally low AA stat of 6. (May be a bug?)
Neutral TtK shift via Gear Shift.
Gear Shift x1 or Rampage x1: 0.80 -> 0.70
Gear Shift x3 or Rampage x3: =>0.60","","A","World Drops / Gunsmith Vendor / Hawthorne Engrams","No"
"","Veiled Threat","Auto Rifle","Kinetic","Stasis","Rapid-Fire","Hammer-forged
Smallbore
Fullbore","Accurized Rounds","Range
Stability","Fragile Focus
Threat Detector
To The Pain","Moving Target
Headstone
Desperate Measures","Radiolara Transposer","Res Block w/ Headstone","","D","Encore Exotic Mission 
Classic Collections Modifier: ON","Yes"
"","VS Pyroelectric Propellant","Auto Rifle","Energy","Void","Adaptive","Hammer-forged
Smallbore
Fullbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing","Range
Stability","Zen Moment
Killing Wind","Gear Shift
Kill Clip
Tap the Trigger","Bray Legacy","Best-in-Class 600 RPM Auto Rifle.
Neutral TtK shift via Elemental Honing or Gear Shift.
Gear Shift x1: 0.80 -> 0.70
Gear Shift x3 or Kill Clip: =>0.60
Origin is good for chaining amplified sources. Higher base stats than Arc Logic, but worse Origin for general use.","","S","Vesper's Host Dungeon","No"
"","Sorrow's Verse","Auto Rifle","Energy","Arc","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized","Range
Stability","Zen Moment
Tap The Trigger
Dynamic Sway Reduction","Kill Clip
Target Lock
Rampage","Accelerated Assault
Roar of Battle
Suros Synergy","Good all around choice of perks, but nothing exceptional.","","B","Crucible / Shaxx Vendor","No"
"","False Promises","Auto Rifle","Kinetic","Stasis","High-Impact","Arrowhead
Chambered 
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Dynamic Sway Reduction","Zen Moment
Cascade Point
Swashbuckler
Headstone","Paracausal Fluid","Good frame, mid perks.
TTK shift via Swash x3: 0.75 -> 0.60
Cascade Point: => 0.45
Headstone res block.","","C","Xur","No"
"","Fair Judgment","Auto Rifle","Kinetic","Stasis","Precision","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Dynamic Sway Reduction
Perpetual Motion","Kill Clip
Headstone
Tap The Trigger
Rangefinder","Vanguard Determination","Mid frame, decent perks.
Headstone res block.
Lacks neutral TtK shift perks that Precision frames autos sorely need.","","C","Vanguard Solo Ops / Zavala Vendor","No"
"","Scathelocke","Auto Rifle","Kinetic","Kinetic","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized","Range
Stability","Keep Away
Heating Up","Kill Clip
All-Star
Rangefinder","Field-Tested
Veteran's Wisdom","Good frame, decent perks.
Good origin traits.
Recommend Keep Away + Kill Clip w/ either origin.
Possible to hit 100 range w/ perks such as Keep Away.
Vet's Wisdom provides AoE exhaust.","","A","EDZ Destination","No"
"","Zealous Ideal","Auto Rifle","Energy","Solar","Balanced Heat (450 RPM)","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Overclocked
Projection Fuse","Range
Stability","Delicate Tuning
Zen Moment
Dynamic Sway Reduction","Onslaught
Tap The Trigger","Imperial Allegiance","Functionally 450 RPM Precision frame.
Lacks neutral TtK shift perks Precision frame autos sorely need.
Onslaught is exceptional on this weapon due to heat weapon functionality.","","C","Equilibrium Dungeon","No"
"","Intercalary","Auto Rifle","Kinetic","Stasis","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Headstone
Built To Blast","Master of Arms
Desperate Measures
Onslaught","Frame of Reference","Good frame, weak column 1 perks.
Strong origin trait.
Provides extra damage, range, and reload speed. Buff pauses on stow, and timer only progresses while weapon is readied, allowing the buff to be ""backpacked"". 
Dmg buff: x1 = 1.45% / x2 = 2.8%  / x3 = 4.2% / x4 = 5.6% / x5 = 7%
Headstone res block.","","A","Desert Perpetual Raid","No"
"","Shadow Price","Auto Rifle","Energy","Arc","Precision","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized","Range
Stability","Surplus","Surrounded","Vanguard Determination
Problem Solver","Mid frame, bad perks.
Almost all of the perks on this gun are useless in PvP.
Surrounded has a small use case, but is not great on autos.","","F","Vanguard / Zavala Vendor","No"
"","Ammit AR2","Auto Rifle","Energy","Solar","Precision","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Dynamic Sway Reduction
Well-Rounded","Tap The Trigger
Adrenaline Junkie
Incandescent","Omolon Fluid Dynamics","Mid frame, mid perks.
Good for a consistent performing auto but not really anything else.","","D","Gunsmith Legacy Focusing","Yes"
"","Firefright","Auto Rifle","Kinetic","Kinetic","Precision","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Fragile Focus
Well-Rounded
Hipfire Grip","Surrounded
Focused Fury
Elemental Capacitor","Extrovert","Mid frame, mid perks.
Mid origin for this weapon type.","","D","Presage
Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Perpetualis","Auto Rifle","Kinetic","Strand","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized","Range
Stability","Keep Away
Zen Moment
Elemental Capacitor","Golden Tricorn
Cascade Point
Target Lock","Noble Deeds","Good frame, decent perks.
Decent origin.
Lower base zoom for ease of use.","","B","//node.ovrd.AVALON//
Legacy Loot
Classic Collections Modifier: ON","Yes"
"","Khvostov 7G-02","Auto Rifle","Kinetic","Kinetic","Adaptive","Smallbore
Fullbore
Polygonal","Steady
Extended
Alloy Mag","Range
Stability","Demolitionist
Pugilist
Strategist","Multi-kill Clip
Attritiion Orbs","Dealer's Choice","Curated roll.
Weak perks. Weak mag.
Non-tiered weapon, cannot achieve enhanced Origin trait, so origin is weaker than crafted Pale Heart variants.
INSANE Origin provides extra Super gen, bonus further increased when paired w/ other Dealer's Choice weapons.
This is extremely pertinent as this is a PRIMARY weapon, which means free bonus super gen in the backpack when paired w/ a Dealer's Choice Special/Heavy.
Enhanced Dealer's Choice x1 = +0.3%(?), x2 = +1.6%(?), x3 = +3%(?)","","C","Pale Heart Destination / Khvostov Exotic Questline","No"
"","Dark Decider","Auto Rifle","Energy","Arc","Rapid-Fire","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Dynamic Sway Reduction
Iron Grip
Hipfire Grip","Golden Tricorn
Rangefinder","Skulking Wolf
Veist Stinger","Good frame, decent perks.
Skulking Wolf auto rifle.
Non-tiered. Non-enhanceable.","","B","Iron Banner / Saladin Vendor","No"
"","Sweet Sorrow","Auto Rifle","Energy","Arc","Rapid-Fire","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized","Range
Stability","Killing Wind
Perpetual Motion","Tap the Trigger
Vorpal Weapon","Land Tank","Good frame, mid perks.
Vorpal vs. Supers.","","C","Vox Obscura
Legacy Loot
Classic Collections Modifier: ON","Yes"
"","Old Sterling","Auto Rifle","Kinetic","Strand","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized","Range
Stability","Slideways
Hipfire Grip
Discord","Harmony
Frenzy
Adagio","Field-Tested","Good frame, mid perks.
Middling or weak perks in both columns.
Non-tiered.","","D","Gunsmith Legacy Focusing","No"
"","Coronach-22","Auto Rifle","Energy","Solar","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment","Cascade Point
Target Lock
Under-Over","Suros Synergy","Good frame, mid perks.
Zen Moment is the only Column 1 perk worth having.
Cascade Point is good when paired w/ a 2nd primary such as a sidearm or SMG.
Under-over vs. Overshields.","","C","Gunsmith Legacy Focusing","No"
"","The Number","Auto Rifle","Energy","Arc","Precision","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Killing Wind
Under Pressure
Field Prep","Multikill Clip","None","Mid frame, bad perks.
Field Prep for special ammo gen.
Multikill Clip is the only good Column 2 perk.
Power crept, no origin.","","D","Xur","No"
"","Braytech Werewolf (Festival of the Lost 2024 Variant)","Auto Rifle","Kinetic","Kinetic","Precision","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Lone Wolf
Dynamic Sway Reduction","Kill Clip
Desperate Measures
Onslaught
Swashbuckler
Tap the Trigger
Kinetic Tremors","Search Party","Mid frame, great perks.
3 strong perks in Column 1, and every Column 2 perk is good.
Good origin trait which can stack with Lone Wolf.
Lacks neutral TtK shift perk that Precision frame autos need to excel.","","B","Unobtainable (Previously Festival of the Lost activities)","No"
"","Braytech Werewolf (Collections Variant)","Auto Rifle","Kinetic","Kinetic","Precision","Hammer-forged","Armor Piercing","Range","Slideshot","Unrelenting","None","Curated roll.
Mid frame with lackluster perks.","","D","Only obtainable via Collections (Previously Festival of the Lost activities)","No"
"","Prosecutor (Rite of the Nine Variant)","Auto Rifle","Energy","Arc","Precision","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Keep Away
Zen Moment
Dragonfly","Paracausal Affinity
Onslaught
Tap The Trigger
Target Lock","Crossing Over
Gravity Well","Mid frame, good perks.
Good origin trait that increase range and handling/or damage.
Lacks neutral TtK shift perks that Precision frames need to excel.","","B","Unobtainable (Previously Rite of the Nine Event)","No"
